序号,stock_code,stock_name,hold_ratio,hold_shares,hold_value,report_period,fund_code,year
16,00388,香港交易所,8.68,1650.0,544670.51,2022年2季度股票投资明细,005827,2022
17,600036,招商银行,7.73,11500.01,485300.42,2022年2季度股票投资明细,005827,2022
18,600887,伊利股份,7.2,11600.0,451820.0,2022年2季度股票投资明细,005827,2022
19,03690,美团-W,5.82,2200.0,365371.38,2022年2季度股票投资明细,005827,2022
20,02269,药明生物,2.64,2700.0,165787.13,2022年2季度股票投资明细,005827,2022
21,000568,泸州老窖,9.94,2293.0,528903.38,2022年3季度股票投资明细,005827,2022
22,600519,贵州茅台,9.92,282.0,528045.0,2022年3季度股票投资明细,005827,2022
23,000858,五粮液,9.92,3120.0,527997.6,2022年3季度股票投资明细,005827,2022
24,002304,洋河股份,9.86,3320.0,525058.0,2022年3季度股票投资明细,005827,2022
25,00700,腾讯控股,9.05,2000.0,481885.63,2022年3季度股票投资明细,005827,2022
26,600036,招商银行,7.27,11500.01,386975.34,2022年3季度股票投资明细,005827,2022
27,600887,伊利股份,7.19,11600.0,382568.0,2022年3季度股票投资明细,005827,2022
28,00388,香港交易所,7.15,1560.0,380385.76,2022年3季度股票投资明细,005827,2022
29,03690,美团-W,6.19,2200.0,329505.58,2022年3季度股票投资明细,005827,2022
30,02269,药明生物,4.37,5420.0,232357.87,2022年3季度股票投资明细,005827,2022
31,00700,腾讯控股,9.88,1890.0,563885.62,2022年4季度股票投资明细,005827,2022
32,000858,五粮液,9.72,3070.0,554718.3,2022年4季度股票投资明细,005827,2022
33,002304,洋河股份,9.34,3320.0,532860.0,2022年4季度股票投资明细,005827,2022
34,600519,贵州茅台,9.17,303.0,523281.0,2022年4季度股票投资明细,005827,2022
35,000568,泸州老窖,9.01,2293.0,514274.04,2022年4季度股票投资明细,005827,2022
36,00388,香港交易所,8.23,1560.0,469888.6,2022年4季度股票投资明细,005827,2022
37,600036,招商银行,7.51,11500.01,428490.37,2022年4季度股票投资明细,005827,2022
38,600887,伊利股份,6.3,11600.0,359600.0,2022年4季度股票投资明细,005827,2022
39,03690,美团-W,6.02,2200.0,343319.39,2022年4季度股票投资明细,005827,2022
40,02269,药明生物,5.25,5600.0,299388.37,2022年4季度股票投资明细,005827,2022
1,600519,贵州茅台,9.97,307.8,560196.0,2023年1季度股票投资明细,005827,2023
2,000568,泸州老窖,9.93,2190.0,557990.1,2023年1季度股票投资明细,005827,2023
3,00700,腾讯控股,9.91,1650.0,557259.74,2023年1季度股票投资明细,005827,2023
4,000858,五粮液,9.71,2770.0,545690.0,2023年1季度股票投资明细,005827,2023
5,002304,洋河股份,9.67,3285.0,543536.1,2023年1季度股票投资明细,005827,2023
6,600036,招商银行,7.01,11500.01,394105.34,2023年1季度股票投资明细,005827,2023
7,00388,香港交易所,6.05,1115.0,339871.8,2023年1季度股票投资明细,005827,2023
8,600887,伊利股份,6.01,11600.0,337792.0,2023年1季度股票投资明细,005827,2023
9,03690,美团-W,5.59,2500.0,314053.34,2023年1季度股票投资明细,005827,2023
10,00883,中国海洋石油,5.54,30500.0,311322.06,2023年1季度股票投资明细,005827,2023
11,00700,腾讯控股,9.94,1600.0,489165.71,2023年2季度股票投资明细,005827,2023
12,600519,贵州茅台,9.93,289.0,488699.0,2023年2季度股票投资明细,005827,2023
13,000568,泸州老窖,9.29,2180.0,456862.6,2023年2季度股票投资明细,005827,2023
14,000858,五粮液,9.21,2770.0,453088.9,2023年2季度股票投资明细,005827,2023
15,002304,洋河股份,8.77,3285.0,431484.75,2023年2季度股票投资明细,005827,2023
16,600036,招商银行,7.66,11500.01,376740.33,2023年2季度股票投资明细,005827,2023
17,600887,伊利股份,6.68,11600.0,328512.0,2023年2季度股票投资明细,005827,2023
18,00883,中国海洋石油,6.4,30500.0,314948.37,2023年2季度股票投资明细,005827,2023
19,00388,香港交易所,6.17,1115.0,303467.87,2023年2季度股票投资明细,005827,2023
20,03690,美团-W,5.73,2500.0,281895.39,2023年2季度股票投资明细,005827,2023
21,600519,贵州茅台,9.84,269.0,483809.95,2023年3季度股票投资明细,005827,2023
22,000858,五粮液,9.61,3026.07,472369.73,2023年3季度股票投资明细,005827,2023
23,000568,泸州老窖,9.47,2150.0,465797.5,2023年3季度股票投资明细,005827,2023
24,002304,洋河股份,9.44,3585.54,463968.95,2023年3季度股票投资明细,005827,2023
25,00700,腾讯控股,8.97,1570.0,441135.94,2023年3季度股票投资明细,005827,2023
26,600036,招商银行,7.71,11500.01,379155.33,2023年3季度股票投资明细,005827,2023
27,00883,中国海洋石油,7.25,28200.0,356587.35,2023年3季度股票投资明细,005827,2023
28,02269,药明生物,6.29,7380.0,309146.79,2023年3季度股票投资明细,005827,2023
29,00388,香港交易所,6.09,1115.0,299375.87,2023年3季度股票投资明细,005827,2023
30,03690,美团-W,5.13,2400.0,252384.96,2023年3季度股票投资明细,005827,2023
31,600519,贵州茅台,9.92,240.0,414240.0,2023年4季度股票投资明细,005827,2023
32,000858,五粮液,9.88,2938.0,412230.78,2023年4季度股票投资明细,005827,2023
33,002304,洋河股份,9.48,3600.0,395640.07,2023年4季度股票投资明细,005827,2023
34,000568,泸州老窖,9.23,2147.0,385214.74,2023年4季度股票投资明细,005827,2023
35,00700,腾讯控股,9.12,1430.0,380474.65,2023年4季度股票投资明细,005827,2023
36,00883,中国海洋石油,7.96,28200.0,332220.25,2023年4季度股票投资明细,005827,2023
37,00388,香港交易所,6.4,1100.0,267153.66,2023年4季度股票投资明细,005827,2023
38,600036,招商银行,6.33,9500.0,264290.0,2023年4季度股票投资明细,005827,2023
39,02269,药明生物,5.01,7800.0,209228.07,2023年4季度股票投资明细,005827,2023
40,03690,美团-W,4.27,2400.0,178126.6,2023年4季度股票投资明细,005827,2023
1,00883,中国海洋石油,9.9,24800.0,407381.81,2024年1季度股票投资明细,005827,2024
2,000858,五粮液,9.85,2640.0,405266.4,2024年1季度股票投资明细,005827,2024
3,000568,泸州老窖,9.63,2147.0,396314.73,2024年1季度股票投资明细,005827,2024
4,00700,腾讯控股,9.57,1430.0,393836.14,2024年1季度股票投资明细,005827,2024
5,600519,贵州茅台,9.31,225.05,383237.65,2024年1季度股票投资明细,005827,2024
6,002304,洋河股份,8.54,3600.0,351540.06,2024年1季度股票投资明细,005827,2024
7,00388,香港交易所,5.52,1100.0,227163.3,2024年1季度股票投资明细,005827,2024
8,03690,美团-W,5.12,2400.0,210609.7,2024年1季度股票投资明细,005827,2024
9,600809,山西汾酒,4.47,750.0,183810.0,2024年1季度股票投资明细,005827,2024
10,600036,招商银行,4.21,5380.0,173236.0,2024年1季度股票投资明细,005827,2024
11,00700,腾讯控股,9.93,1140.0,387465.52,2024年2季度股票投资明细,005827,2024
12,00883,中国海洋石油,9.92,18950.0,387414.41,2024年2季度股票投资明细,005827,2024
13,000858,五粮液,8.66,2640.0,338025.6,2024年2季度股票投资明细,005827,2024
14,600519,贵州茅台,8.46,225.05,330236.12,2024年2季度股票投资明细,005827,2024
15,000568,泸州老窖,7.89,2147.0,308073.03,2024年2季度股票投资明细,005827,2024
16,002304,洋河股份,7.45,3600.0,290664.05,2024年2季度股票投资明细,005827,2024
17,00388,香港交易所,6.43,1100.0,251187.79,2024年2季度股票投资明细,005827,2024
18,03690,美团-W,6.23,2400.0,243357.0,2024年2季度股票投资明细,005827,2024
19,01910,新秀丽,4.59,8430.0,179267.69,2024年2季度股票投资明细,005827,2024
20,600809,山西汾酒,4.13,765.0,161323.2,2024年2季度股票投资明细,005827,2024
21,000858,五粮液,9.79,2640.0,429026.4,2024年3季度股票投资明细,005827,2024
22,09988,阿里巴巴-W,9.14,4040.0,400755.48,2024年3季度股票投资明细,005827,2024
23,600519,贵州茅台,8.97,225.05,393387.4,2024年3季度股票投资明细,005827,2024
24,00700,腾讯控股,8.87,970.0,388907.76,2024年3季度股票投资明细,005827,2024
25,002304,洋河股份,8.15,3600.0,357084.06,2024年3季度股票投资明细,005827,2024
26,000568,泸州老窖,7.6,2225.0,333082.5,2024年3季度股票投资明细,005827,2024
27,600809,山西汾酒,7.39,1480.01,323959.17,2024年3季度股票投资明细,005827,2024
28,00883,中国海洋石油,7.11,17800.0,311727.16,2024年3季度股票投资明细,005827,2024
29,03690,美团-W,7.08,2000.0,310215.76,2024年3季度股票投资明细,005827,2024
30,09987,百胜中国,4.39,580.0,192582.67,2024年3季度股票投资明细,005827,2024
31,00700,腾讯控股,9.86,957.0,369553.86,2024年4季度股票投资明细,005827,2024
32,09988,阿里巴巴-W,9.81,4818.56,367683.57,2024年4季度股票投资明细,005827,2024
33,000858,五粮液,9.71,2600.0,364104.0,2024年4季度股票投资明细,005827,2024
34,600519,贵州茅台,9.15,225.05,342976.2,2024年4季度股票投资明细,005827,2024
35,002304,洋河股份,8.02,3600.0,300708.05,2024年4季度股票投资明细,005827,2024
36,000568,泸州老窖,7.43,2225.0,278570.0,2024年4季度股票投资明细,005827,2024
37,600809,山西汾酒,7.27,1480.01,272632.46,2024年4季度股票投资明细,005827,2024
38,00883,中国海洋石油,6.75,14300.0,253194.15,2024年4季度股票投资明细,005827,2024
39,03690,美团-W,6.29,1680.0,236006.85,2024年4季度股票投资明细,005827,2024
40,09987,百胜中国,5.36,580.0,200984.02,2024年4季度股票投资明细,005827,2024
1,600519,贵州茅台,14.9,160.96,178821.23,2020年1季度股票投资明细,161725,2020
2,000568,泸州老窖,13.98,2278.5,167811.79,2020年1季度股票投资明细,161725,2020
3,000858,五粮液,13.81,1439.05,165778.32,2020年1季度股票投资明细,161725,2020
4,002304,洋河股份,13.13,1878.84,157578.23,2020年1季度股票投资明细,161725,2020
5,000860,顺鑫农业,9.19,1797.4,110342.48,2020年1季度股票投资明细,161725,2020
6,600809,山西汾酒,6.77,900.68,81223.03,2020年1季度股票投资明细,161725,2020
7,603589,口子窖,4.28,1243.27,51421.84,2020年1季度股票投资明细,161725,2020
8,603369,今世缘,4.05,1726.41,48598.42,2020年1季度股票投资明细,161725,2020
9,000596,古井贡酒,3.78,397.51,45407.91,2020年1季度股票投资明细,161725,2020
10,600779,水井坊,2.41,673.06,28975.25,2020年1季度股票投资明细,161725,2020
11,000858,五粮液,14.47,1093.09,187049.44,2020年2季度股票投资明细,161725,2020
12,600519,贵州茅台,14.13,124.84,182632.23,2020年2季度股票投资明细,161725,2020
13,000568,泸州老窖,13.02,1847.45,168339.59,2020年2季度股票投资明细,161725,2020
14,002304,洋河股份,12.81,1574.6,165553.12,2020年2季度股票投资明细,161725,2020
15,600809,山西汾酒,7.9,703.93,102070.4,2020年2季度股票投资明细,161725,2020
16,000860,顺鑫农业,6.16,1398.03,79659.57,2020年2季度股票投资明细,161725,2020
17,603369,今世缘,5.2,1688.82,67198.28,2020年2季度股票投资明细,161725,2020
18,603589,口子窖,3.82,969.33,49338.98,2020年2季度股票投资明细,161725,2020
19,000799,酒鬼酒,3.62,612.34,46850.26,2020年2季度股票投资明细,161725,2020
20,000596,古井贡酒,3.6,309.8,46543.75,2020年2季度股票投资明细,161725,2020
21,000568,泸州老窖,17.01,2878.25,413173.13,2020年3季度股票投资明细,161725,2020
22,000858,五粮液,15.5,1703.32,376433.72,2020年3季度股票投资明细,161725,2020
23,600519,贵州茅台,13.36,194.49,324503.56,2020年3季度股票投资明细,161725,2020
24,002304,洋河股份,12.62,2452.58,306547.79,2020年3季度股票投资明细,161725,2020
25,600809,山西汾酒,8.95,1096.3,217275.97,2020年3季度股票投资明细,161725,2020
26,000860,顺鑫农业,5.39,2177.47,130996.34,2020年3季度股票投资明细,161725,2020
27,603369,今世缘,4.81,2630.35,116839.92,2020年3季度股票投资明细,161725,2020
28,000596,古井贡酒,4.31,482.47,104589.22,2020年3季度股票投资明细,161725,2020
29,000799,酒鬼酒,3.23,953.91,78554.41,2020年3季度股票投资明细,161725,2020
30,603589,口子窖,3.15,1510.27,76600.91,2020年3季度股票投资明细,161725,2020
31,600809,山西汾酒,14.61,1888.95,708905.13,2020年4季度股票投资明细,161725,2020
32,002304,洋河股份,14.05,2888.21,681588.84,2020年4季度股票投资明细,161725,2020
33,000568,泸州老窖,13.91,2983.7,674793.25,2020年4季度股票投资明细,161725,2020
34,600519,贵州茅台,12.99,315.53,630433.14,2020年4季度股票投资明细,161725,2020
35,000858,五粮液,12.7,2111.65,616285.67,2020年4季度股票投资明细,161725,2020
36,000860,顺鑫农业,4.17,2792.41,202561.56,2020年4季度股票投资明细,161725,2020
37,603369,今世缘,4.0,3385.64,194267.89,2020年4季度股票投资明细,161725,2020
38,000799,酒鬼酒,3.99,1236.3,193480.51,2020年4季度股票投资明细,161725,2020
39,000596,古井贡酒,3.45,616.08,167572.92,2020年4季度股票投资明细,161725,2020
40,603589,口子窖,2.77,1948.34,134240.45,2020年4季度股票投资明细,161725,2020
1,000568,泸州老窖,15.98,3543.92,797452.16,2021年1季度股票投资明细,161725,2021
2,600519,贵州茅台,15.02,373.18,749715.61,2021年1季度股票投资明细,161725,2021
3,600809,山西汾酒,14.86,2228.36,741596.61,2021年1季度股票投资明细,161725,2021
4,000858,五粮液,13.43,2502.09,670509.62,2021年1季度股票投资明细,161725,2021
5,002304,洋河股份,11.41,3458.27,569577.79,2021年1季度股票投资明细,161725,2021
6,000799,酒鬼酒,4.43,1452.8,221057.42,2021年1季度股票投资明细,161725,2021
7,603369,今世缘,3.94,4006.75,196531.27,2021年1季度股票投资明细,161725,2021
8,000860,顺鑫农业,3.12,3316.96,155664.75,2021年1季度股票投资明细,161725,2021
9,000596,古井贡酒,3.1,735.17,154511.6,2021年1季度股票投资明细,161725,2021
10,603589,口子窖,2.86,2299.78,142586.32,2021年1季度股票投资明细,161725,2021
11,000858,五粮液,14.88,3484.59,1038023.26,2021年2季度股票投资明细,161725,2021
12,600519,贵州茅台,14.16,480.32,987865.3,2021年2季度股票投资明细,161725,2021
13,600809,山西汾酒,14.03,2184.24,978541.63,2021年2季度股票投资明细,161725,2021
14,000568,泸州老窖,13.02,3849.03,908139.36,2021年2季度股票投资明细,161725,2021
15,002304,洋河股份,12.72,4282.54,887341.4,2021年2季度股票投资明细,161725,2021
16,000799,酒鬼酒,5.77,1575.8,402774.43,2021年2季度股票投资明细,161725,2021
17,603369,今世缘,3.46,4460.04,241555.53,2021年2季度股票投资明细,161725,2021
18,000596,古井贡酒,2.81,817.82,195868.11,2021年2季度股票投资明细,161725,2021
19,600779,水井坊,2.52,1388.98,175497.35,2021年2季度股票投资明细,161725,2021
20,603589,口子窖,2.48,2559.68,173264.57,2021年2季度股票投资明细,161725,2021
21,600809,山西汾酒,16.4,4827.57,1523098.97,2021年3季度股票投资明细,161725,2021
22,000568,泸州老窖,14.89,6241.92,1383084.3,2021年3季度股票投资明细,161725,2021
23,600519,贵州茅台,14.79,751.0,1374322.86,2021年3季度股票投资明细,161725,2021
24,000858,五粮液,13.22,5599.62,1228501.58,2021年3季度股票投资明细,161725,2021
25,002304,洋河股份,12.01,6718.64,1115831.85,2021年3季度股票投资明细,161725,2021
26,000799,酒鬼酒,4.22,1581.08,391680.9,2021年3季度股票投资明细,161725,2021
27,000596,古井贡酒,4.2,1650.52,390484.88,2021年3季度股票投资明细,161725,2021
28,600779,水井坊,3.26,2385.27,303287.67,2021年3季度股票投资明细,161725,2021
29,603369,今世缘,2.98,6120.46,277256.87,2021年3季度股票投资明细,161725,2021
30,603198,迎驾贡酒,1.8,3272.61,167655.64,2021年3季度股票投资明细,161725,2021
31,000568,泸州老窖,15.46,4726.86,1200008.81,2021年4季度股票投资明细,161725,2021
32,600519,贵州茅台,15.42,583.84,1196862.57,2021年4季度股票投资明细,161725,2021
33,600809,山西汾酒,14.68,3607.43,1139154.88,2021年4季度股票投资明细,161725,2021
34,000858,五粮液,14.09,4912.37,1093787.86,2021年4季度股票投资明细,161725,2021
35,002304,洋河股份,10.67,5028.75,828385.31,2021年4季度股票投资明细,161725,2021
36,000799,酒鬼酒,4.31,1573.2,334304.77,2021年4季度股票投资明细,161725,2021
37,603369,今世缘,3.79,5406.15,294094.72,2021年4季度股票投资明细,161725,2021
38,000596,古井贡酒,3.51,1122.35,272738.61,2021年4季度股票投资明细,161725,2021
39,600779,水井坊,2.85,1843.25,221171.95,2021年4季度股票投资明细,161725,2021
40,603589,口子窖,2.68,2934.65,207978.31,2021年4季度股票投资明细,161725,2021
1,600519,贵州茅台,16.78,672.21,1155536.73,2022年1季度股票投资明细,161725,2022
2,600809,山西汾酒,15.2,4106.65,1046784.01,2022年1季度股票投资明细,161725,2022
3,000568,泸州老窖,14.57,5398.17,1003412.03,2022年1季度股票投资明细,161725,2022
4,000858,五粮液,12.83,5699.35,883740.48,2022年1季度股票投资明细,161725,2022
5,002304,洋河股份,11.58,5880.82,797616.25,2022年1季度股票投资明细,161725,2022
6,603369,今世缘,3.75,6131.5,258136.05,2022年1季度股票投资明细,161725,2022
7,000799,酒鬼酒,3.4,1581.94,233968.76,2022年1季度股票投资明细,161725,2022
8,000596,古井贡酒,3.27,1313.38,225059.96,2022年1季度股票投资明细,161725,2022
9,600779,水井坊,2.59,2166.22,178431.4,2022年1季度股票投资明细,161725,2022
10,603589,口子窖,2.3,2931.84,158436.37,2022年1季度股票投资明细,161725,2022
11,600809,山西汾酒,14.5,3432.66,1114929.17,2022年2季度股票投资明细,161725,2022
12,000858,五粮液,14.33,5458.03,1102139.45,2022年2季度股票投资明细,161725,2022
13,000568,泸州老窖,14.14,4409.78,1087185.98,2022年2季度股票投资明细,161725,2022
14,600519,贵州茅台,14.08,529.56,1082949.79,2022年2季度股票投资明细,161725,2022
15,002304,洋河股份,11.53,4842.49,886901.38,2022年2季度股票投资明细,161725,2022
16,000596,古井贡酒,4.27,1316.47,328670.75,2022年2季度股票投资明细,161725,2022
17,000799,酒鬼酒,3.85,1591.52,295719.68,2022年2季度股票投资明细,161725,2022
18,603369,今世缘,3.48,5249.53,267725.89,2022年2季度股票投资明细,161725,2022
19,600779,水井坊,2.18,1812.43,167722.51,2022年2季度股票投资明细,161725,2022
20,603589,口子窖,2.15,2820.94,165335.35,2022年2季度股票投资明细,161725,2022
21,600809,山西汾酒,15.62,3620.62,1096649.86,2022年3季度股票投资明细,161725,2022
22,000568,泸州老窖,15.33,4666.15,1076293.01,2022年3季度股票投资明细,161725,2022
23,600519,贵州茅台,14.98,561.9,1052151.38,2022年3季度股票投资明细,161725,2022
24,000858,五粮液,14.03,5822.82,985396.51,2022年3季度股票投资明细,161725,2022
25,002304,洋河股份,11.6,5149.07,814325.59,2022年3季度股票投资明细,161725,2022
26,000596,古井贡酒,5.38,1389.65,377916.08,2022年3季度股票投资明细,161725,2022
27,603369,今世缘,3.58,5481.49,251490.99,2022年3季度股票投资明细,161725,2022
28,000799,酒鬼酒,2.85,1591.52,199974.05,2022年3季度股票投资明细,161725,2022
29,603589,口子窖,1.96,2934.28,137881.88,2022年3季度股票投资明细,161725,2022
30,603198,迎驾贡酒,1.78,2222.04,124812.19,2022年3季度股票投资明细,161725,2022
31,000568,泸州老窖,15.11,4607.62,1033397.6,2022年4季度股票投资明细,161725,2022
32,600809,山西汾酒,14.29,3429.28,977309.51,2022年4季度股票投资明细,161725,2022
33,000858,五粮液,14.22,5381.31,972348.25,2022年4季度股票投资明细,161725,2022
34,600519,贵州茅台,13.75,544.58,940490.18,2022年4季度股票投资明细,161725,2022
35,002304,洋河股份,10.28,4378.7,702782.01,2022年4季度股票投资明细,161725,2022
