序号,文献,DOI,类型,语种,来源
50,"COOPER M J, GULEN H, RAU P R. Changing names with style: mutual fund name changes and their effects on fund flows[J]. The Journal of Finance, 2005, 60(6): 2825-2858.",,期刊论文,英文,既有底库
51,"COVAL J D, SHUMWAY T. Do behavioral biases affect prices?[J]. The Journal of Finance, 2005, 60(1): 1-34.",,期刊论文,英文,既有底库
52,"GOETZMANN W N, INGERSOLL J, SPIEGEL M, WELCH I. Portfolio performance manipulation and manipulation-proof performance measures[J]. The Review of Financial Studies, 2007, 20(5): 1503-1546.",10.1093/rfs/hhm025,期刊论文,英文,本轮新增核验
53,"SORTINO F A, PRICE L N. Performance measurement in a downside risk framework[J]. The Journal of Investing, 1994, 3(3): 59-64.",10.3905/joi.3.3.59,期刊论文,英文,本轮新增核验
54,"SHARPE W F. Mutual fund performance[J]. The Journal of Business, 1966, 39(1): 119-138.",,期刊论文,英文,本轮新增核验
55,"FRAZZINI A, FRIEDMAN J, POMORSKI L. Deactivating active share[J]. Financial Analysts Journal, 2016, 72(2): 14-21.",10.2469/faj.v72.n2.2,期刊论文,英文,本轮新增核验
56,"PETAJISTO A. Author response to ""Deactivating active share""[J]. Financial Analysts Journal, 2016, 72(4): 11-12.",,期刊论文,英文,本轮新增核验
57,"WERMERS R. A matter of style: the causes and consequences of style drift in institutional portfolios[R]. Working Paper, University of Maryland, 2012.",10.2139/ssrn.1573410,工作论文,英文,本轮新增核验
58,"CHEN Y, WEI H. Fund style drift and fund performance: evidence from China[J]. PLoS ONE, 2025, 20(2): e0316932.",10.1371/journal.pone.0316932,期刊论文,英文,本轮新增核验
59,"PUETZ A, RUENZI S. Overconfidence among professional investors: evidence from mutual fund managers[J]. Journal of Business Finance & Accounting, 2011, 38(5-6): 684-712.",10.1111/j.1468-5957.2010.02237.x,期刊论文,英文,本轮新增核验
60,"KACPERCZYK M, SIALM C, ZHENG L. Unobserved actions of mutual funds[J]. The Review of Financial Studies, 2008, 21(6): 2379-2416.",10.1093/rfs/hhm034,期刊论文,英文,本轮新增核验
61,"TREYNOR J L, MAZUY K K. Can mutual funds outguess the market?[J]. Harvard Business Review, 1966, 44(4): 131-136.",,期刊论文,英文,本轮新增核验
