date,close,daily_return,cumulative_return,rolling_peak,drawdown
2018-02-27,96.55,-0.01093,-0.0345,108.68,-0.11161207213838802
2018-02-28,94.21,-0.0243,-0.0579,108.68,-0.13314317261685693
2018-03-01,93.74,-0.00492,-0.0626,108.68,-0.1374677953625323
2018-03-02,94.59,0.00907,-0.0541,108.68,-0.12964666912035336
2018-03-05,95.13,0.00566,-0.0487,108.68,-0.12467795362532215
2018-03-06,95.18,0.00058,-0.0482,108.68,-0.1242178873757821
2018-03-07,98.56,0.03544,-0.0144,108.68,-0.09311740890688262
2018-03-08,99.22,0.00674,-0.0078,108.68,-0.08704453441295554
2018-03-09,100.7,0.01494,0.007,108.68,-0.07342657342657345
2018-03-12,104.05,0.0332,0.0405,108.68,-0.04260213470739795
2018-03-13,102.17,-0.01801,0.0217,108.68,-0.05990062569009942
2018-03-14,100.71,-0.01431,0.0071,108.68,-0.07333456017666555
2018-03-15,103.33,0.02603,0.0333,108.68,-0.049227088700772983
2018-03-16,102.21,-0.01082,0.0221,108.68,-0.05953257269046754
2018-03-19,102.33,0.00118,0.0233,108.68,-0.05842841369157166
2018-03-20,104.0,0.01626,0.04,108.68,-0.04306220095693786
2018-03-21,105.42,0.01367,0.0542,108.68,-0.029996319470003727
2018-03-22,108.18,0.0262,0.0818,108.68,-0.004600662495399337
2018-03-23,110.61,0.02244,0.1061,110.61,0.0
2018-03-26,112.41,0.01626,0.1241,112.41,0.0
2018-03-27,111.23,-0.01045,0.1123,112.41,-0.010497286718263435
2018-03-28,112.6,0.01228,0.126,112.6,0.0
2018-03-29,113.19,0.00531,0.1319,113.19,0.0
2018-03-30,111.1,-0.01848,0.111,113.19,-0.01846452866861033
2018-04-02,113.47,0.0213,0.1347,113.47,0.0
2018-04-03,114.88,0.01245,0.1488,114.88,0.0
2018-04-04,115.04,0.00141,0.1504,115.04,0.0
2018-04-05,114.74,-0.00263,0.1474,115.04,-0.0026077885952713086
2018-04-06,112.83,-0.01663,0.1283,115.04,-0.01921070931849798
2018-04-09,113.24,0.00364,0.1324,115.04,-0.015646731571627357
2018-04-10,114.1,0.00754,0.141,115.04,-0.008171070931849895
2018-04-11,112.81,-0.0113,0.1281,115.04,-0.01938456189151603
2018-04-12,114.8,0.0176,0.148,115.04,-0.002086230876217047
2018-04-13,113.05,-0.01516,0.1305,115.04,-0.017298331015299106
2018-04-16,109.66,-0.03003,0.0966,115.04,-0.04676634214186378
2018-04-17,111.39,0.01583,0.1139,115.04,-0.03172809457579977
2018-04-18,110.83,-0.0051,0.1083,115.04,-0.03659596662030605
2018-04-19,110.71,-0.00108,0.1071,115.04,-0.03763908205841457
2018-04-20,109.45,-0.01139,0.0945,115.04,-0.048591794158553574
2018-04-23,106.98,-0.02254,0.0698,115.04,-0.07006258692628653
2018-04-24,109.01,0.01895,0.0901,115.04,-0.05241655076495133
2018-04-25,108.0,-0.00924,0.08,115.04,-0.061196105702364445
2018-04-26,110.68,0.02483,0.1068,115.04,-0.03789986091794158
2018-04-27,112.06,0.01246,0.1206,115.04,-0.025904033379694054
2018-04-30,111.63,-0.00381,0.1163,115.04,-0.029641863699582847
2018-05-01,109.96,-0.015,0.0996,115.04,-0.044158553546592594
2018-05-02,108.87,-0.00987,0.0887,115.04,-0.053633518776077894
2018-05-03,107.04,-0.01683,0.0704,115.04,-0.06954102920723226
2018-05-04,110.36,0.03101,0.1036,115.04,-0.04068150208623093
2018-05-07,110.71,0.00313,0.1071,115.04,-0.03763908205841457
2018-05-08,112.64,0.01743,0.1264,115.04,-0.02086230876216973
2018-05-09,110.65,-0.01763,0.1065,115.04,-0.03816063977746871
2018-05-10,111.02,0.00338,0.1102,115.04,-0.0349443671766343
2018-05-11,113.0,0.01783,0.13,115.04,-0.01773296244784428
2018-05-14,112.54,-0.00411,0.1254,115.04,-0.021731571627260082
2018-05-15,114.31,0.0157,0.1431,115.04,-0.006345618915159979
2018-05-16,112.59,-0.01498,0.1259,115.04,-0.021296940194714904
2018-05-17,110.45,-0.01902,0.1045,115.04,-0.03989916550764954
2018-05-18,111.14,0.00625,0.1114,115.04,-0.033901251738525776
2018-05-21,110.62,-0.00475,0.1062,115.04,-0.03842141863699584
2018-05-22,111.73,0.01006,0.1173,115.04,-0.02877260083449237
2018-05-23,108.61,-0.02793,0.0861,115.04,-0.05589360222531299
2018-05-24,109.81,0.01108,0.0981,115.04,-0.04546244784422813
2018-05-25,114.03,0.03843,0.1403,115.04,-0.008779554937413118
2018-05-28,114.08,0.00039,0.1408,115.04,-0.008344923504867941
2018-05-29,114.22,0.00125,0.1422,115.04,-0.007127955493741372
2018-05-30,114.6,0.00335,0.146,115.04,-0.0038247566063978784
2018-05-31,111.59,-0.02625,0.1159,115.04,-0.029989568845618937
2018-06-01,112.37,0.00693,0.1237,115.04,-0.023209318497913783
2018-06-04,109.83,-0.02253,0.0983,115.04,-0.04528859527121008
2018-06-05,109.24,-0.00545,0.0924,115.04,-0.05041724617524349
2018-06-06,111.29,0.01877,0.1129,115.04,-0.03259735744089012
2018-06-07,110.18,-0.00991,0.1018,115.04,-0.042246175243393594
2018-06-08,111.07,0.00802,0.1107,115.04,-0.03450973574408912
2018-06-11,112.78,0.01543,0.1278,115.04,-0.01964534075104316
2018-06-12,113.32,0.00479,0.1332,115.04,-0.014951321279555051
2018-06-13,111.15,-0.01913,0.1115,115.04,-0.033814325452016694
2018-06-14,110.7,-0.00407,0.107,115.04,-0.03772600834492353
2018-06-15,113.93,0.02916,0.1393,115.04,-0.009648817802503472
2018-06-18,110.67,-0.02861,0.1067,115.04,-0.037986787204450666
2018-06-19,110.31,-0.00325,0.1031,115.04,-0.04111613351877611
2018-06-20,109.51,-0.00726,0.0951,115.04,-0.048070236439499314
2018-06-21,109.78,0.0025,0.0978,115.04,-0.045723226703755254
2018-06-22,111.06,0.0116,0.1106,115.04,-0.03459666203059809
2018-06-25,113.73,0.02408,0.1373,115.04,-0.011387343532684302
2018-06-26,113.37,-0.00317,0.1337,115.04,-0.01451668984700975
2018-06-27,114.79,0.01253,0.1479,115.04,-0.0021731571627260082
2018-06-28,115.71,0.008,0.1571,115.71,0.0
2018-06-29,116.59,0.00763,0.1659,116.59,0.0
2018-07-02,115.73,-0.00743,0.1573,116.59,-0.007376275838408092
2018-07-03,114.14,-0.01371,0.1414,116.59,-0.021013809074534717
2018-07-04,112.4,-0.0152,0.124,116.59,-0.0359379020499185
2018-07-05,111.25,-0.01022,0.1125,116.59,-0.04580152671755728
2018-07-06,111.86,0.00541,0.1186,116.59,-0.04056951711124457
2018-07-09,113.18,0.01178,0.1318,116.59,-0.02924779140578091
2018-07-10,113.79,0.00544,0.1379,116.59,-0.024015781799468196
2018-07-11,112.97,-0.00721,0.1297,116.59,-0.031048975040741097
2018-07-12,116.01,0.02694,0.1601,116.59,-0.00497469765846126
2018-07-13,118.66,0.02277,0.1866,118.66,0.0
2018-07-16,118.14,-0.00438,0.1814,118.66,-0.004382268666778999
2018-07-17,116.81,-0.01119,0.1681,118.66,-0.015590763526040741
2018-07-18,117.12,0.00264,0.1712,118.66,-0.012978257205460914
2018-07-19,119.36,0.01913,0.1936,119.36,0.0
2018-07-20,120.03,0.00558,0.2003,120.03,0.0
2018-07-23,121.09,0.00882,0.2109,121.09,0.0
2018-07-24,120.8,-0.00233,0.208,121.09,-0.0023949128747213335
2018-07-25,121.69,0.00737,0.2169,121.69,0.0
2018-07-26,124.51,0.02315,0.2451,124.51,0.0
2018-07-27,124.17,-0.00273,0.2417,124.51,-0.0027307043610955216
2018-07-30,124.52,0.00283,0.2452,124.52,0.0
2018-07-31,125.07,0.00443,0.2507,125.07,0.0
2018-08-01,125.68,0.00486,0.2568,125.68,0.0
2018-08-02,123.2,-0.01972,0.232,125.68,-0.019732654360280107
2018-08-03,119.94,-0.02646,0.1994,125.68,-0.04567154678548702
2018-08-06,118.26,-0.01403,0.1826,125.68,-0.05903882877148314
2018-08-07,118.64,0.00319,0.1864,125.68,-0.056015276893698326
2018-08-08,119.68,0.00878,0.1968,125.68,-0.047740292807129214
2018-08-09,118.85,-0.00694,0.1885,125.68,-0.05434436664544885
2018-08-10,121.31,0.02072,0.2131,125.68,-0.03477084659452581
2018-08-13,121.15,-0.00133,0.2115,125.68,-0.03604392106938257
2018-08-14,121.28,0.00104,0.2128,125.68,-0.03500954805856147
2018-08-15,121.03,-0.00206,0.2103,125.68,-0.03699872692552519
2018-08-16,121.35,0.00269,0.2135,125.68,-0.03445257797581168
2018-08-17,122.68,0.01096,0.2268,125.68,-0.023870146403564607
2018-08-20,123.96,0.0104,0.2396,125.68,-0.013685550604710479
2018-08-21,122.44,-0.01228,0.2244,125.68,-0.025779758115849847
2018-08-22,125.23,0.02284,0.2523,125.68,-0.0035805219605347135
2018-08-23,123.34,-0.01513,0.2334,125.68,-0.018618714194780422
2018-08-24,123.57,0.0019,0.2357,125.68,-0.016788669637173882
2018-08-27,123.17,-0.00323,0.2317,125.68,-0.01997135582431576
2018-08-28,121.39,-0.01446,0.2139,125.68,-0.034134309357097437
2018-08-29,121.35,-0.00034,0.2135,125.68,-0.03445257797581168
2018-08-30,120.14,-0.00999,0.2014,125.68,-0.04408020369191602
2018-08-31,120.36,0.00181,0.2036,125.68,-0.042329726288987964
2018-09-03,121.15,0.00659,0.2115,125.68,-0.03604392106938257
2018-09-04,123.83,0.02209,0.2383,125.68,-0.014719923615531576
2018-09-05,124.47,0.00521,0.2447,125.68,-0.009627625716104454
2018-09-06,123.46,-0.00811,0.2346,125.68,-0.017663908338637912
2018-09-07,122.85,-0.00493,0.2285,125.68,-0.02251750477402938
2018-09-10,123.19,0.00278,0.2319,125.68,-0.019812221514958695
2018-09-11,123.45,0.00211,0.2345,125.68,-0.01774347549331639
2018-09-12,126.16,0.02191,0.2616,126.16,0.0
2018-09-13,128.81,0.02098,0.2881,128.81,0.0
2018-09-14,128.23,-0.00445,0.2823,128.81,-0.0045027559972052825
2018-09-17,127.31,-0.00721,0.2731,128.81,-0.011645058613461687
2018-09-18,122.68,-0.03633,0.2268,128.81,-0.04758947286701339
2018-09-19,121.8,-0.00721,0.218,128.81,-0.054421240586910995
2018-09-20,120.16,-0.01343,0.2016,128.81,-0.0671531713376291
2018-09-21,119.64,-0.00439,0.1964,128.81,-0.0711901249902958
2018-09-24,120.4,0.00643,0.204,128.81,-0.06528996195947517
2018-09-25,120.8,0.00332,0.208,128.81,-0.06218461299588545
2018-09-26,120.84,0.00032,0.2084,128.81,-0.06187407809952643
2018-09-27,121.28,0.00364,0.2128,128.81,-0.05845819423957768
2018-09-28,121.15,-0.00108,0.2115,128.81,-0.059467432652744324
2018-10-01,121.59,0.00361,0.2159,128.81,-0.05605154879279558
2018-10-02,115.98,-0.0461,0.1598,128.81,-0.09960406800714229
2018-10-03,115.62,-0.00315,0.1562,128.81,-0.10239888207437309
2018-10-04,115.52,-0.00086,0.1552,128.81,-0.1031752193152706
2018-10-05,115.03,-0.0042,0.1503,128.81,-0.10697927179566805
2018-10-08,114.76,-0.00241,0.1476,128.81,-0.10907538234609111
2018-10-09,116.01,0.01095,0.1601,128.81,-0.09937116683487304
2018-10-10,115.09,-0.00792,0.1509,128.81,-0.10651346945112956
2018-10-11,118.85,0.03266,0.1885,128.81,-0.07732318919338567
2018-10-12,120.13,0.01073,0.2013,128.81,-0.06738607250989835
2018-10-15,120.21,0.00066,0.2021,128.81,-0.0667650027171804
2018-10-16,119.94,-0.00225,0.1994,128.81,-0.06886111326760348
2018-10-17,119.88,-0.0005,0.1988,128.81,-0.06932691561214196
2018-10-18,118.38,-0.01252,0.1838,128.81,-0.08097197422560365
2018-10-19,118.3,-0.00063,0.183,128.81,-0.0815930440183216
2018-10-22,118.87,0.00479,0.1887,128.81,-0.07716792174520609
2018-10-23,119.96,0.00915,0.1996,128.81,-0.06870584581942402
2018-10-24,121.05,0.00916,0.2105,128.81,-0.06024376989364184
2018-10-25,120.66,-0.00324,0.2066,128.81,-0.06327148513314187
2018-10-26,118.27,-0.01978,0.1827,128.81,-0.08182594519059085
2018-10-29,117.22,-0.00895,0.1722,128.81,-0.089977486220014
2018-10-30,120.04,0.02413,0.2004,128.81,-0.06808477602670597
2018-10-31,121.69,0.01374,0.2169,128.81,-0.05527521155189818
2018-11-01,122.44,0.00611,0.2244,128.81,-0.049452682245167336
2018-11-02,121.18,-0.01029,0.2118,128.81,-0.05923453148047508
2018-11-05,121.27,0.0008,0.2127,128.81,-0.058535827963667464
2018-11-06,119.16,-0.01746,0.1916,128.81,-0.07491654374660357
2018-11-07,118.29,-0.00725,0.1829,128.81,-0.08167067774241127
2018-11-08,117.96,-0.00281,0.1796,128.81,-0.08423259063737294
2018-11-09,117.43,-0.00449,0.1743,128.81,-0.08834717801412931
2018-11-12,119.15,0.01462,0.1915,128.81,-0.07499417747069324
2018-11-13,116.79,-0.01982,0.1679,128.81,-0.09331573635587295
2018-11-14,115.41,-0.0118,0.1541,128.81,-0.10402919028025778
2018-11-15,113.19,-0.01918,0.1319,128.81,-0.12126387702818107
2018-11-16,111.25,-0.01719,0.1125,128.81,-0.1363248195015915
2018-11-19,111.53,0.00255,0.1153,128.81,-0.13415107522707864
2018-11-20,109.03,-0.02246,0.0903,128.81,-0.15355950624951478
2018-11-21,110.3,0.01168,0.103,128.81,-0.14370002329011727
2018-11-22,109.99,-0.00283,0.0999,128.81,-0.14610666873689937
2018-11-23,110.18,0.00175,0.1018,128.81,-0.14463162797919413
2018-11-26,110.78,0.00543,0.1078,128.81,-0.1399736045338095
2018-11-27,110.17,-0.00555,0.1017,128.81,-0.1447092617032839
2018-11-28,111.9,0.01572,0.119,128.81,-0.13127862743575808
2018-11-29,111.67,-0.00207,0.1167,128.81,-0.13306420308982223
2018-11-30,112.71,0.00936,0.1271,128.81,-0.12499029578448885
2018-12-03,112.47,-0.00214,0.1247,128.81,-0.12685350516264268
2018-12-04,113.03,0.00497,0.1303,128.81,-0.12250601661361696
2018-12-05,113.57,0.00481,0.1357,128.81,-0.11831379551277081
2018-12-06,114.07,0.00437,0.1407,128.81,-0.11443210930828358
2018-12-07,112.54,-0.01338,0.1254,128.81,-0.1263100690940144
2018-12-10,113.34,0.00707,0.1334,128.81,-0.12009937116683486
2018-12-11,112.9,-0.00387,0.129,128.81,-0.12351525502678361
2018-12-12,114.02,0.00989,0.1402,128.81,-0.11482027792873228
2018-12-13,110.54,-0.03046,0.1054,128.81,-0.14183681391196332
2018-12-14,108.28,-0.02049,0.0828,128.81,-0.15938203555624564
2018-12-17,108.93,0.00602,0.0893,128.81,-0.15433584349041218
2018-12-18,111.95,0.02776,0.1195,128.81,-0.13089045881530936
2018-12-19,113.39,0.01286,0.1339,128.81,-0.11971120254638616
2018-12-20,112.36,-0.00915,0.1236,128.81,-0.12770747612762987
2018-12-21,109.68,-0.02378,0.0968,128.81,-0.14851331418368136
2018-12-24,110.95,0.01152,0.1095,128.81,-0.13865383122428382
2018-12-25,110.9,-0.00042,0.109,128.81,-0.13904199984473253
2018-12-26,111.93,0.00932,0.1193,128.81,-0.13104572626348882
2018-12-27,112.21,0.00242,0.1221,128.81,-0.12887198198897606
2018-12-28,112.34,0.00118,0.1234,128.81,-0.12786274357580932
2018-12-31,117.24,0.04365,0.1724,128.81,-0.08982221877183454
2019-01-01,117.32,0.00066,0.1732,128.81,-0.0892011489791166
2019-01-02,117.14,-0.00156,0.1714,128.81,-0.09059855601273194
2019-01-03,117.02,-0.00101,0.1702,128.81,-0.09153016070180892
2019-01-04,116.12,-0.00771,0.1612,128.81,-0.09851719586988586
2019-01-07,117.87,0.01511,0.1787,128.81,-0.08493129415418056
2019-01-08,117.35,-0.00438,0.1735,128.81,-0.08896824780684735
2019-01-09,118.52,0.00997,0.1852,128.81,-0.07988510208834723
2019-01-10,119.1,0.00488,0.191,128.81,-0.07538234609114206
2019-01-11,121.3,0.01843,0.213,128.81,-0.05830292679139822
2019-01-14,122.13,0.00684,0.2213,128.81,-0.05185932769194943
2019-01-15,120.07,-0.01684,0.2007,128.81,-0.06785187485443683
2019-01-16,117.85,-0.01848,0.1785,128.81,-0.08508656160236013
2019-01-17,120.34,0.02117,0.2034,128.81,-0.06575576430401366
2019-01-18,119.37,-0.00808,0.1937,128.81,-0.07328623554071886
2019-01-21,117.18,-0.0184,0.1718,128.81,-0.09028802111637292
2019-01-22,116.13,-0.00896,0.1613,128.81,-0.09843956214579619
2019-01-23,118.34,0.01909,0.1834,128.81,-0.08128250912196257
2019-01-24,115.99,-0.01984,0.1599,128.81,-0.09952643428305262
2019-01-25,114.62,-0.01181,0.1462,128.81,-0.11016225448334754
2019-01-28,113.6,-0.00892,0.136,128.81,-0.11808089434050158
2019-01-29,111.63,-0.01739,0.1163,128.81,-0.13337473798618124
2019-01-30,109.79,-0.01642,0.0979,128.81,-0.14765934321869417
2019-01-31,107.46,-0.02126,0.0746,128.81,-0.16574800093160474
2019-02-01,106.82,-0.00594,0.0682,128.81,-0.17071655927334842
2019-02-04,106.35,-0.0044,0.0635,128.81,-0.17436534430556638
2019-02-05,105.38,-0.00915,0.0538,128.81,-0.1818958155422716
2019-02-06,102.93,-0.02323,0.0293,128.81,-0.20091607794425895
2019-02-07,104.88,0.01892,0.0488,128.81,-0.18577750174675883
2019-02-08,102.94,-0.01852,0.0294,128.81,-0.20083844422016928
2019-02-11,103.43,0.00478,0.0343,128.81,-0.19703439173977172
2019-02-12,101.89,-0.01483,0.0189,128.81,-0.20898998524959242
2019-02-13,102.96,0.01044,0.0296,128.81,-0.20068317677198982
2019-02-14,104.46,0.01461,0.0446,128.81,-0.18903811815852814
2019-02-15,103.21,-0.01198,0.0321,128.81,-0.1987423336697462
2019-02-18,100.41,-0.02714,0.0041,128.81,-0.22047977641487465
2019-02-19,101.5,0.01084,0.015,128.81,-0.21201770048909246
2019-02-20,104.33,0.02795,0.0433,128.81,-0.19004735657169478
2019-02-21,105.04,0.00678,0.0504,128.81,-0.18453536216132285
2019-02-22,105.36,0.00308,0.0536,128.81,-0.18205108299045106
2019-02-25,106.7,0.01264,0.067,128.81,-0.17164816396242527
2019-02-26,107.96,0.01184,0.0796,128.81,-0.16186631472711752
2019-02-27,106.74,-0.01127,0.0674,128.81,-0.17133762906606637
2019-02-28,105.8,-0.00881,0.058,128.81,-0.17863519913050233
2019-03-01,106.82,0.00961,0.0682,128.81,-0.17071655927334842
2019-03-04,106.68,-0.00134,0.0668,128.81,-0.17180343141060472
2019-03-05,108.79,0.01984,0.0879,128.81,-0.15542271562766863
2019-03-06,107.76,-0.00946,0.0776,128.81,-0.16341898920891232
2019-03-07,109.02,0.01163,0.0902,128.81,-0.1536371399736046
2019-03-08,109.64,0.00572,0.0964,128.81,-0.14882384908004037
2019-03-11,109.52,-0.00108,0.0952,128.81,-0.14975545376911736
2019-03-12,111.47,0.0178,0.1147,128.81,-0.13461687757161714
2019-03-13,112.65,0.01061,0.1265,128.81,-0.12545609812902722
2019-03-14,111.1,-0.01382,0.111,128.81,-0.13748932536293773
2019-03-15,112.21,0.01003,0.1221,128.81,-0.12887198198897606
2019-03-18,114.53,0.02069,0.1453,128.81,-0.11086095800015527
2019-03-19,114.4,-0.00114,0.144,128.81,-0.11187019641332192
2019-03-20,114.08,-0.00286,0.1408,128.81,-0.1143544755841938
2019-03-21,113.05,-0.00896,0.1305,128.81,-0.1223507491654375
2019-03-22,113.12,0.00055,0.1312,128.81,-0.12180731309680923
2019-03-25,114.33,0.0107,0.1433,128.81,-0.11241363248195019
2019-03-26,113.06,-0.01111,0.1306,128.81,-0.12227311544134772
2019-03-27,110.93,-0.01877,0.1093,128.81,-0.13880909867246327
2019-03-28,110.41,-0.0047,0.1041,128.81,-0.1428460523251301
2019-03-29,108.29,-0.01926,0.0829,128.81,-0.15930440183215586
2019-04-01,109.19,0.00834,0.0919,128.81,-0.1523173666640789
2019-04-02,108.6,-0.00544,0.086,128.81,-0.15689775638537387
2019-04-03,105.91,-0.0247,0.0591,128.81,-0.17778122816551514
2019-04-04,105.46,-0.0043,0.0546,128.81,-0.18127474574955366
2019-04-05,105.24,-0.00204,0.0524,128.81,-0.18298268767952805
2019-04-08,106.01,0.00726,0.0601,128.81,-0.17700489092461763
2019-04-09,105.86,-0.00136,0.0586,128.81,-0.17816939678596383
2019-04-10,108.81,0.02785,0.0881,128.81,-0.15526744817948918
2019-04-11,108.07,-0.00677,0.0807,128.81,-0.16101234376213033
2019-04-12,108.06,-0.00015,0.0806,128.81,-0.16108997748622
2019-04-15,107.98,-0.00074,0.0798,128.81,-0.16171104727893795
2019-04-16,107.62,-0.00335,0.0762,128.81,-0.16450586134616876
2019-04-17,107.92,0.00282,0.0792,128.81,-0.16217684962347645
2019-04-18,108.85,0.0086,0.0885,128.81,-0.15495691328313024
2019-04-19,111.04,0.02018,0.1104,128.81,-0.1379551277074761
2019-04-22,108.6,-0.022,0.086,128.81,-0.15689775638537387
2019-04-23,107.88,-0.00665,0.0788,128.81,-0.16248738451983546
2019-04-24,107.26,-0.00574,0.0726,128.81,-0.16730067541339955
2019-04-25,108.8,0.01435,0.088,128.81,-0.15534508190357896
2019-04-26,108.32,-0.00442,0.0832,128.81,-0.15907150065988673
2019-04-29,105.42,-0.02673,0.0542,128.81,-0.1815852806459126
2019-04-30,105.63,0.00202,0.0563,128.81,-0.179954972440028
2019-05-01,105.66,0.00026,0.0566,128.81,-0.17972207126775874
2019-05-02,106.02,0.00336,0.0602,128.81,-0.17692725720052796
2019-05-03,104.5,-0.01433,0.045,128.81,-0.1887275832621691
2019-05-06,107.18,0.02568,0.0718,128.81,-0.1679217452061175
2019-05-07,106.76,-0.00395,0.0676,128.81,-0.17118236161788677
2019-05-08,106.54,-0.00198,0.0654,128.81,-0.17289030354786117
2019-05-09,105.23,-0.0123,0.0523,128.81,-0.18306032140361772
2019-05-10,103.89,-0.01275,0.0389,128.81,-0.1934632404316435
2019-05-13,102.13,-0.01698,0.0213,128.81,-0.2071267758714386
2019-05-14,101.62,-0.00495,0.0162,128.81,-0.2110860958000155
2019-05-15,100.29,-0.01313,0.0029,128.81,-0.22141138110395153
2019-05-16,103.35,0.03057,0.0335,128.81,-0.19765546153248978
2019-05-17,100.6,-0.02663,0.006,128.81,-0.21900473565716952
2019-05-20,99.03,-0.01561,-0.0097,128.81,-0.23119323033925937
2019-05-21,98.53,-0.00507,-0.0147,128.81,-0.2350749165437466
2019-05-22,99.56,0.01052,-0.0044,128.81,-0.2270786429625029
2019-05-23,99.04,-0.00525,-0.0096,128.81,-0.2311155966151696
2019-05-24,100.09,0.01055,0.0009,128.81,-0.22296405558574645
2019-05-27,98.73,-0.01356,-0.0127,128.81,-0.23352224206195168
2019-05-28,98.89,0.00161,-0.0111,128.81,-0.23228010247651582
2019-05-29,101.46,0.02604,0.0146,128.81,-0.2123282353854515
2019-05-30,100.12,-0.01328,0.0012,128.81,-0.22273115441347718
2019-05-31,100.8,0.00683,0.008,128.81,-0.2174520611753746
2019-06-03,101.18,0.00375,0.0118,128.81,-0.21450197965996426
2019-06-04,97.95,-0.0319,-0.0205,128.81,-0.23957767254095177
2019-06-05,97.19,-0.00779,-0.0281,128.81,-0.2454778355717724
2019-06-06,98.85,0.01715,-0.0115,128.81,-0.23259063737287483
2019-06-07,99.12,0.00271,-0.0088,128.81,-0.23049452682245164
2019-06-10,97.45,-0.01683,-0.0255,128.81,-0.243459358745439
2019-06-11,98.5,0.01077,-0.015,128.81,-0.23530781771601586
2019-06-12,97.89,-0.0062,-0.0211,128.81,-0.24004347488549027
2019-06-13,98.48,0.00597,-0.0152,128.81,-0.2354630851641953
2019-06-14,99.09,0.00622,-0.0091,128.81,-0.2307274279947209
2019-06-17,97.56,-0.01547,-0.0244,128.81,-0.24260538778045182
2019-06-18,98.75,0.0122,-0.0125,128.81,-0.23336697461377223
2019-06-19,97.38,-0.01386,-0.0262,128.81,-0.24400279481406728
2019-06-20,95.61,-0.01818,-0.0439,128.81,-0.257743963977952
2019-06-21,94.46,-0.01205,-0.0554,128.81,-0.26667184224827273
2019-06-24,94.05,-0.00427,-0.0595,128.81,-0.2698548249359522
2019-06-25,94.27,0.00234,-0.0573,128.81,-0.26814688300597783
2019-06-26,93.29,-0.01045,-0.0671,128.81,-0.2757549879667727
2019-06-27,94.36,0.01155,-0.0564,128.81,-0.2674481794891701
2019-06-28,94.78,0.0044,-0.0522,128.81,-0.2641875630774008
2019-07-01,93.9,-0.00932,-0.061,128.81,-0.27101933079729834
2019-07-02,95.18,0.01364,-0.0482,128.81,-0.261082214113811
2019-07-03,96.85,0.01759,-0.0315,128.81,-0.24811738219082374
2019-07-04,96.78,-0.00068,-0.0322,128.81,-0.2486608182594519
2019-07-05,96.55,-0.00237,-0.0345,128.81,-0.2504463939135161
2019-07-08,94.14,-0.02497,-0.0586,128.81,-0.26915612141914447
2019-07-09,93.66,-0.00516,-0.0634,128.81,-0.27288254017545227
