fund_code,fund_code_6,基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,成立日期,fund_type,inception_date,latest_scale,benchmark,management_company,custodian,subscription_status,redemption_status,management_fee,custodian_fee,sales_service_fee,investment_style,investment_target,risk_level,最高申购费率,最高赎回费率,latest_scale_yi,inception_date_fixed,fund_type_fixed
354,354,长盛城镇化主题混合型证券投资基金,长盛城镇化主题混合A,000354（前端）基金类型混合型-偏股,混合型-偏股,2013年10月14日,2013年11月12日 / 20.115亿份,5.55亿元（截止至：2026年06月30日）份额规模1.0157亿份（截止至：2026年06月30日）,1.0157亿份（截止至：2026年06月30日）,长盛基金,中国银行,代毅,每份累计0.65元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*80%+中证综合债指数收益率*20%,该基金无跟踪标的,2013-11-12,混合型-偏股,2013-11-12,,沪深300指数收益率*80%+中证综合债指数收益率*20%,长盛基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,20.115,2013-11-12,混合型-偏股
390,390,华商优势行业灵活配置混合型证券投资基金,华商优势行业混合A,000390（前端）基金类型混合型-灵活,混合型-灵活,2013年11月14日,2013年12月11日 / 6.396亿份,161.07亿元（截止至：2026年06月30日）份额规模44.8299亿份（截止至：2026年06月30日）,44.8299亿份（截止至：2026年06月30日）,华商基金,建设银行,张明昕,每份累计3.08元（20次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*85%+上证国债指数收益率*15%,该基金无跟踪标的,2013-12-11,混合型-灵活,2013-12-11,,中证800指数收益率*85%+上证国债指数收益率*15%,华商基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,6.396,2013-12-11,混合型-灵活
404,404,易方达新兴成长灵活配置混合型证券投资基金,易方达新兴成长灵活配置,000404（前端）基金类型混合型-灵活,混合型-灵活,2013年10月30日,2013年11月28日 / 5.474亿份,57.02亿元（截止至：2026年06月30日）份额规模4.4422亿份（截止至：2026年06月30日）,4.4422亿份（截止至：2026年06月30日）,易方达基金,工商银行,蔡荣成,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,中证新兴产业指数收益率×50%+中债总财富指数收益率×50%,该基金无跟踪标的,2013-11-28,混合型-灵活,2013-11-28,,中证新兴产业指数收益率×50%+中债总财富指数收益率×50%,易方达基金,工商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,5.474,2013-11-28,混合型-灵活
522,522,华润元大信息传媒科技混合型证券投资基金,华润元大信息传媒科技混合A,000522（前端）基金类型混合型-偏股,混合型-偏股,2014年02月27日,2014年03月31日 / 2.488亿份,3.07亿元（截止至：2026年06月30日）份额规模0.3496亿份（截止至：2026年06月30日）,0.3496亿份（截止至：2026年06月30日）,华润元大基金,建设银行,李武群,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证TMT产业主题指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,2014-03-31,混合型-偏股,2014-03-31,,中证TMT产业主题指数收益率×80%+中债综合指数收益率×20%,华润元大基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,2.488,2014-03-31,混合型-偏股
601,601,华宝创新优选混合型证券投资基金,华宝创新优选混合,000601（前端）基金类型混合型-偏股,混合型-偏股,2014年04月08日,2014年05月14日 / 5.129亿份,7.97亿元（截止至：2026年06月30日）份额规模1.8731亿份（截止至：2026年06月30日）,1.8731亿份（截止至：2026年06月30日）,华宝基金,中国银行,张金涛,每份累计0.34元（1次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,中证800指数收益率×80%+上证国债指数收益率×20%,该基金无跟踪标的,2014-05-14,混合型-偏股,2014-05-14,,中证800指数收益率×80%+上证国债指数收益率×20%,华宝基金,中国银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,5.129,2014-05-14,混合型-偏股
742,742,国泰新经济灵活配置混合型证券投资基金,国泰新经济灵活配置混合A,000742（前端）基金类型混合型-灵活,混合型-灵活,2014年08月18日,2014年09月16日 / 7.138亿份,9.62亿元（截止至：2026年06月30日）份额规模1.4836亿份（截止至：2026年06月30日）,1.4836亿份（截止至：2026年06月30日）,国泰基金,招商银行,彭凌志,每份累计0.91元（5次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*50%+中证综合债券指数收益率*50%,该基金无跟踪标的,2014-09-16,混合型-灵活,2014-09-16,,沪深300指数收益率*50%+中证综合债券指数收益率*50%,国泰基金,招商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,7.138,2014-09-16,混合型-灵活
800,800,华商未来主题混合型证券投资基金,华商未来主题混合,000800（前端）基金类型混合型-偏股,混合型-偏股,2014年10月09日,2014年10月14日 / 49.188亿份,4.39亿元（截止至：2026年06月30日）份额规模2.8542亿份（截止至：2026年06月30日）,2.8542亿份（截止至：2026年06月30日）,华商基金,建设银行,王毅文,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,沪深300指数收益率×75%+上证国债指数收益率×25%,该基金无跟踪标的,2014-10-14,混合型-偏股,2014-10-14,,沪深300指数收益率×75%+上证国债指数收益率×25%,华商基金,建设银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,49.188,2014-10-14,混合型-偏股
823,823,银华高端制造业灵活配置混合型证券投资基金,银华高端制造业混合A,000823（前端）基金类型混合型-灵活,混合型-灵活,2014年10月16日,2014年11月13日 / 22.873亿份,6.33亿元（截止至：2026年06月30日）份额规模1.7564亿份（截止至：2026年06月30日）,1.7564亿份（截止至：2026年06月30日）,银华基金,建设银行,薄官辉、王浩,每份累计0.14元（1次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,申银万国制造业指数*50%+中证全债指数*50%,该基金无跟踪标的,2014-11-13,混合型-灵活,2014-11-13,,申银万国制造业指数*50%+中证全债指数*50%,银华基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,22.873,2014-11-13,混合型-灵活
845,845,国投瑞银信息消费灵活配置混合型证券投资基金,国投瑞银信息消费混合A,000845（前端）基金类型混合型-灵活,混合型-灵活,2014年11月10日,2014年12月03日 / 20.326亿份,0.97亿元（截止至：2026年06月30日）份额规模0.438亿份（截止至：2026年06月30日）,0.438亿份（截止至：2026年06月30日）,国投瑞银基金,中国银行,马柯,每份累计1.09元（8次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率*60%+中债综合指数收益率*40%,该基金无跟踪标的,2014-12-03,混合型-灵活,2014-12-03,,沪深300指数收益率*60%+中债综合指数收益率*40%,国投瑞银基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,20.326,2014-12-03,混合型-灵活
940,940,富国中小盘精选混合型证券投资基金,富国中小盘精选混合A,000940（前端）、000941（后端）基金类型混合型-偏股,混合型-偏股,2014年12月25日,2015年01月23日 / 20.782亿份,54.23亿元（截止至：2026年06月30日）份额规模6.1721亿份（截止至：2026年06月30日）,6.1721亿份（截止至：2026年06月30日）,富国基金,建设银行,曹晋,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证700指数收益率*80%+中债综合财富指数收益率*20%,该基金无跟踪标的,2015-01-23,混合型-偏股,2015-01-23,,中证700指数收益率*80%+中债综合财富指数收益率*20%,富国基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,20.782,2015-01-23,混合型-偏股
1000,1000,中欧明睿新起点混合型证券投资基金,中欧明睿新起点混合,001000（前端）基金类型混合型-偏股,混合型-偏股,2015年01月19日,2015年01月29日 / 49.768亿份,13.70亿元（截止至：2026年06月30日）份额规模5.2443亿份（截止至：2026年06月30日）,5.2443亿份（截止至：2026年06月30日）,中欧基金,工商银行,代云锋,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,沪深300指数收益率×80%+中债综合指数收益率×20%,该基金无跟踪标的,2015-01-29,混合型-偏股,2015-01-29,,沪深300指数收益率×80%+中债综合指数收益率×20%,中欧基金,工商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,49.768,2015-01-29,混合型-偏股
1037,1037,国投瑞银锐意改革灵活配置混合型证券投资基金,国投瑞银锐意改革混合A,001037（前端）基金类型混合型-灵活,混合型-灵活,2015年03月09日,2015年03月31日 / 40.711亿份,6.13亿元（截止至：2026年06月30日）份额规模2.4205亿份（截止至：2026年06月30日）,2.4205亿份（截止至：2026年06月30日）,国投瑞银基金,中国银行,马柯,每份累计0.69元（3次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.60%（前端）,中证800相对成长指数收益率*85%+中债-综合全价(1年以下)指数收益率*15%,该基金无跟踪标的,2015-03-31,混合型-灵活,2015-03-31,,中证800相对成长指数收益率*85%+中债-综合全价(1年以下)指数收益率*15%,国投瑞银基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,40.711,2015-03-31,混合型-灵活
1060,1060,前海开源高端装备制造灵活配置混合型证券投资基金,前海开源高端装备制造混合A,001060（前端）基金类型混合型-灵活,混合型-灵活,2015年03月05日,2015年03月27日 / 32.142亿份,4.07亿元（截止至：2026年06月30日）份额规模0.8779亿份（截止至：2026年06月30日）,0.8779亿份（截止至：2026年06月30日）,前海开源基金,交通银行,魏淳,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证高端装备制造指数收益率*85%+中债-综合财富(1年以下)指数收益率*15%,该基金无跟踪标的,2015-03-27,混合型-灵活,2015-03-27,,中证高端装备制造指数收益率*85%+中债-综合财富(1年以下)指数收益率*15%,前海开源基金,交通银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,32.142,2015-03-27,混合型-灵活
1075,1075,宝盈转型动力灵活配置混合型证券投资基金,宝盈转型动力混合A,001075（前端）基金类型混合型-灵活,混合型-灵活,2015年04月15日,2015年04月29日 / 58.039亿份,29.96亿元（截止至：2026年06月30日）份额规模6.2099亿份（截止至：2026年06月30日）,6.2099亿份（截止至：2026年06月30日）,宝盈基金,农业银行,容志能、叶秀贤,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*70%+中证综合债券指数收益率*30%,该基金无跟踪标的,2015-04-29,混合型-灵活,2015-04-29,,中证800指数收益率*70%+中证综合债券指数收益率*30%,宝盈基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,58.039,2015-04-29,混合型-灵活
1076,1076,易方达改革红利混合型证券投资基金,易方达改革红利混合,001076（前端）基金类型混合型-偏股,混合型-偏股,2015年03月30日,2015年04月23日 / 21.993亿份,28.71亿元（截止至：2026年06月30日）份额规模5.9912亿份（截止至：2026年06月30日）,5.9912亿份（截止至：2026年06月30日）,易方达基金,邮储银行,陈皓,每份累计0.16元（1次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,沪深300指数收益率×70%+一年期人民币定期存款利率(税后)×30%,该基金无跟踪标的,2015-04-23,混合型-偏股,2015-04-23,,沪深300指数收益率×70%+一年期人民币定期存款利率(税后)×30%,易方达基金,邮储银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,21.993,2015-04-23,混合型-偏股
1088,1088,华宝国策导向混合型证券投资基金,华宝国策导向混合A,001088（前端）基金类型混合型-偏股,混合型-偏股,2015年04月15日,2015年05月08日 / 33.869亿份,2.00亿元（截止至：2026年06月30日）份额规模1.2666亿份（截止至：2026年06月30日）,1.2666亿份（截止至：2026年06月30日）,华宝基金,中国银行,丁靖斐,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*80%+上证国债指数收益率*20%,该基金无跟踪标的,2015-05-08,混合型-偏股,2015-05-08,,中证800指数收益率*80%+上证国债指数收益率*20%,华宝基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,33.869,2015-05-08,混合型-偏股
1170,1170,宏利复兴伟业灵活配置混合型证券投资基金,宏利复兴混合A,001170（前端）基金类型混合型-灵活,混合型-灵活,2015年04月07日,2015年04月21日 / 34.175亿份,39.84亿元（截止至：2026年06月30日）份额规模6.6145亿份（截止至：2026年06月30日）,6.6145亿份（截止至：2026年06月30日）,宏利基金,中国银行,孙硕,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率*50%+中证综合债指数收益率*50%,该基金无跟踪标的,2015-04-21,混合型-灵活,2015-04-21,,沪深300指数收益率*50%+中证综合债指数收益率*50%,宏利基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,34.175,2015-04-21,混合型-灵活
1184,1184,易方达新常态灵活配置混合型证券投资基金,易方达新常态混合A,001184（前端）基金类型混合型-灵活,混合型-灵活,2015年04月27日,2015年04月30日 / 146.626亿份,110.79亿元（截止至：2026年06月30日）份额规模42.758亿份（截止至：2026年06月30日）,42.758亿份（截止至：2026年06月30日）,易方达基金,工商银行,何一铖,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800成长指数收益率*85%+中债-总全价(总值)指数收益率*15%,该基金无跟踪标的,2015-04-30,混合型-灵活,2015-04-30,,中证800成长指数收益率*85%+中债-总全价(总值)指数收益率*15%,易方达基金,工商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,146.626,2015-04-30,混合型-灵活
1194,1194,景顺长城稳健回报灵活配置混合型证券投资基金,景顺长城稳健回报混合A,001194（前端）基金类型混合型-灵活,混合型-灵活,2015年04月07日,2015年04月10日 / 31.674亿份,53.89亿元（截止至：2026年06月30日）份额规模6.5952亿份（截止至：2026年06月30日）,6.5952亿份（截止至：2026年06月30日）,景顺长城基金,邮储银行,江山,每份累计0.07元（1次）,0.60%（每年）,0.15%（每年）,0.00%（每年）,1.00%（前端）天天基金优惠费率：0.10%（前端）,1年期银行定期存款利率(税后)+3%(单利年化),该基金无跟踪标的,2015-04-10,混合型-灵活,2015-04-10,,1年期银行定期存款利率(税后)+3%(单利年化),景顺长城基金,邮储银行,,,0.60%（每年）,0.15%（每年）,0.00%（每年）,,,,,,31.674,2015-04-10,混合型-灵活
1198,1198,东方惠新灵活配置混合型证券投资基金,东方惠新灵活配置混合A,001198（前端）基金类型混合型-灵活,混合型-灵活,2015年04月13日,2015年04月21日 / 52.660亿份,11.04亿元（截止至：2026年06月30日）份额规模2.6089亿份（截止至：2026年06月30日）,2.6089亿份（截止至：2026年06月30日）,东方基金,建设银行,严凯,每份累计0.23元（4次）,0.70%（每年）,0.20%（每年）,0.00%（每年）,0.60%（前端）,沪深300指数收益率×45%+中债总指数收益率×55%,该基金无跟踪标的,2015-04-21,混合型-灵活,2015-04-21,,沪深300指数收益率×45%+中债总指数收益率×55%,东方基金,建设银行,,,0.70%（每年）,0.20%（每年）,0.00%（每年）,,,,,,52.66,2015-04-21,混合型-灵活
1267,1267,宏利蓝筹价值混合型证券投资基金,宏利蓝筹混合,001267（前端）基金类型混合型-偏股,混合型-偏股,2015年05月11日,2015年06月03日 / 3.957亿份,0.75亿元（截止至：2026年06月30日）份额规模0.2635亿份（截止至：2026年06月30日）,0.2635亿份（截止至：2026年06月30日）,宏利基金,建设银行,魏成,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率*85%+中债-综合财富(1-3年)指数收益率*15%,该基金无跟踪标的,2015-06-03,混合型-偏股,2015-06-03,,沪深300指数收益率*85%+中债-综合财富(1-3年)指数收益率*15%,宏利基金,建设银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,3.957,2015-06-03,混合型-偏股
1407,1407,景顺长城稳健回报灵活配置混合型证券投资基金,景顺长城稳健回报混合C,001407（前端）基金类型混合型-灵活,混合型-灵活,2015年04月07日,2015年06月08日 / --,47.98亿元（截止至：2026年06月30日）份额规模6.0678亿份（截止至：2026年06月30日）,6.0678亿份（截止至：2026年06月30日）,景顺长城基金,邮储银行,江山,每份累计0.06元（1次）,0.60%（每年）,0.15%（每年）,0.20%（每年）,---（前端）,1年期银行定期存款利率(税后)+3%(单利年化),该基金无跟踪标的,2015-06-08,混合型-灵活,2015-06-08,,1年期银行定期存款利率(税后)+3%(单利年化),景顺长城基金,邮储银行,,,0.60%（每年）,0.15%（每年）,0.20%（每年）,,,,0.00%（前端）,1.50%（前端）,47.98,2015-06-08,混合型-灵活
1411,1411,诺安创新驱动灵活配置混合型证券投资基金,诺安创新驱动混合A,001411（前端）基金类型混合型-灵活,混合型-灵活,2015年06月04日,2015年06月18日 / 61.703亿份,3.64亿元（截止至：2026年06月30日）份额规模1.1413亿份（截止至：2026年06月30日）,1.1413亿份（截止至：2026年06月30日）,诺安基金,工商银行,左少逸,每份累计0.12元（4次）,0.60%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×60%+中证全债指数收益率×40%,该基金无跟踪标的,2015-06-18,混合型-灵活,2015-06-18,,沪深300指数收益率×60%+中证全债指数收益率×40%,诺安基金,工商银行,,,0.60%（每年）,0.20%（每年）,0.00%（每年）,,,,,,61.703,2015-06-18,混合型-灵活
1412,1412,德邦鑫星价值灵活配置混合型证券投资基金,德邦鑫星价值灵活配置混合A,001412（前端）基金类型混合型-灵活,混合型-灵活,2015年06月08日,2015年06月19日 / 4.655亿份,33.66亿元（截止至：2026年06月30日）份额规模4.9807亿份（截止至：2026年06月30日）,4.9807亿份（截止至：2026年06月30日）,德邦基金,交通银行,陆阳,每份累计0.14元（5次）,0.70%（每年）,0.15%（每年）,0.00%（每年）,1.20%（前端）,一年期银行定期存款利率(税后),该基金无跟踪标的,2015-06-19,混合型-灵活,2015-06-19,,一年期银行定期存款利率(税后),德邦基金,交通银行,,,0.70%（每年）,0.15%（每年）,0.00%（每年）,,,,,,4.655,2015-06-19,混合型-灵活
1437,1437,易方达瑞享灵活配置混合型证券投资基金,易方达瑞享混合I,001437（前端）基金类型混合型-灵活,混合型-灵活,2015年06月24日,2015年06月26日 / 2.138亿份,102.37亿元（截止至：2026年06月30日）份额规模6.8166亿份（截止至：2026年06月30日）,6.8166亿份（截止至：2026年06月30日）,易方达基金,农业银行,武阳,每份累计0.00元（0次）,0.80%（每年）,0.15%（每年）,0.00%（每年）,0.50%（前端）,中证500指数收益率*85%+中债总指数收益率*15%,该基金无跟踪标的,2015-06-26,混合型-灵活,2015-06-26,,中证500指数收益率*85%+中债总指数收益率*15%,易方达基金,农业银行,,,0.80%（每年）,0.15%（每年）,0.00%（每年）,,,,,,2.138,2015-06-26,混合型-灵活
1438,1438,易方达瑞享灵活配置混合型证券投资基金,易方达瑞享混合E,001438（前端）基金类型混合型-灵活,混合型-灵活,2015年06月24日,2015年06月26日 / 2.138亿份,91.15亿元（截止至：2026年06月30日）份额规模7.5059亿份（截止至：2026年06月30日）,7.5059亿份（截止至：2026年06月30日）,易方达基金,农业银行,武阳,每份累计0.00元（0次）,0.80%（每年）,0.15%（每年）,0.20%（每年）,0.00%（前端）,中证500指数收益率*85%+中债总指数收益率*15%,该基金无跟踪标的,2015-06-26,混合型-灵活,2015-06-26,,中证500指数收益率*85%+中债总指数收益率*15%,易方达基金,农业银行,,,0.80%（每年）,0.15%（每年）,0.20%（每年）,,,,0.00%（前端）,1.50%（前端）,2.138,2015-06-26,混合型-灵活
