manager_name,manager_id,school,education,gender,CFA,resume
金梓才,30304626,上海交通大学,硕士,男,否,"基金经理：金梓才基金经理简介：金梓才先生:中国国籍,上海交通大学微电子学与固体电子学硕士。历任华泰资产管理有限公司投资经理助理,信诚基金管理有限公司TMT行业高级研究员。2014年8月加入财通基金管理有限公司,曾任基金投资部基金经理、副总监、副总监(主持工作)、总监、公司总经理助理。现任财通基金管理有限公司党委委员、副总经理、权益投资总监、基金投资部总经理、基金经理。2020年4月3日至2025年09月19日担任财通智慧成长混合型证券投资基金基金经理。2020年07月07日至2023年7月3日担任财通科技创新混合型证券投资基金基金经理。2019年7月11日至2022年8月5日担任财通科创主题灵活配置混合型证券投资基金(LOF)基金经理。现任财通基金管理有限公司副总经理。曾任财通碳中和一年持有期混合型证券投资基金基金经理。金梓才累计任职时间：11年又263天任职起始日期：2014-11-19现任基金公司：财通基金管理有限公司现任基金资产总规模565.48亿元在管基金最佳任期回报1310.88%金梓才管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报024"
赵艰申,30201545,,硕士,男,否,"基金经理：赵艰申基金经理简介：赵艰申先生:硕士,自2007年4月至2013年3月在中海基金管理有限公司历任分析师、基金经理助理、专户投资经理,自2013年3月至2015年7月在财通基金管理有限公司历任基金经理、基金投资部负责人,2015年7月起加入上投摩根基金管理有限公司。赵艰申累计任职时间：3年又245天任职起始日期：2013-08-26现任基金公司：现任基金资产总规模--在管基金最佳任期回报--赵艰申管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报001192摩根整合驱动混合A估值图基金吧档案混合型-灵活3.742015-11-13 ~ 2017-08-251年又286天-16.32%720001财通价值动量混合A估值图基金吧档案混合型-灵活67.222014-06-10 ~ 2015-07-161年又36天100.52%000017财通可持续混合A估值图基金吧档案混合型-偏股6.752013-08-26 ~ 2015-07-161年又324天118.66%720002财通可转债债券A估值图基金吧档案债券型-混合二级0.502013-08-26"
赵媛媛,30103228,西南财经大学,硕士,未知,是,"基金经理：赵媛媛基金经理简介：赵媛媛:西南财经大学经济学硕士,2009年新财富最佳分析师,第13届中国“金基金”偏股混合型基金奖,西南财经大学经济学本科,硕士;CFA持证人。央视2台节目重要嘉宾并出席央视年度经济论坛。2007-2012年,历任国泰君安/国泰基金宏观策略/财通基金研究员/机械行业分析师。2012-2014年,财通基金,保本基金/财通可持续发展基金基金经理。2014-2017年,华商基金,华商万众创新基金/华商鑫安基金基金经理。5年公开产品累计投资收益111.5%,较业绩基准高出75.7%;公募期间混合型排名前14%。公私募期间前11%。赵媛媛累计任职时间：4年又38天任职起始日期：2012-12-20现任基金公司：现任基金资产总规模--在管基金最佳任期回报--赵媛媛管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报004895华商鑫安灵活混合估值图基金吧档案混合型-灵活0.482017-09-06 ~ 2017-12-25110天2.90%002669华商万众创新混合A估值图基金吧档案混合型-灵活11.472016-06-28 ~ 20"
吴松凯,30136279,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
詹成,30413691,,博士,男,否,"基金经理詹成的档案

查详细资料：


返回基金经理大全





基金经理：詹成




基金经理简介：詹成先生:中国国籍,通信电子工程博士。曾担任英国诺基亚研发中心研究员。2011年7月加入景顺长城基金管理有限公司,历任研究部研究员、专户投资部投资经理,自2015年12月起担任股票投资部基金经理。曾于2020年3月至2021年9月管理景顺长城科技创新混合型证券投资基金。现任基金经理詹成先生兼任景顺长城品质投资混合型证券投资基金、景顺长城智能生活混合型证券投资基金、景顺长城科技创新三年定期开放灵活配置混合型证券投资基金、景顺长城产业趋势混合型证券投资基金、景顺长城融景产业机遇一年持有期混合型证券投资基金、景顺长城医疗健康混合型证券投资基金、景顺长城鑫景产业精选一年持有期混合型证券投资基金、"
余广,30060238,,硕士,男,否,"基金经理：余广基金经理简介：余广先生:中国国籍,银行和金融工商管理硕士,中国注册会计师。曾先后担任蛇口中华会计师事务所审计项目经理、杭州中融投资管理有限公司财务顾问项目经理、世纪证券综合研究所研究员、中银国际(中国)证券风险管理部高级经理等职务。2005年1月加入景顺长城基金管理有限公司,担任研究员等职务;自2010年5月起担任基金经理。现任景顺长城基金管理有限公司总经理助理兼股票投资部投资总监兼股票投资部基金经理。曾任景顺长城精选蓝筹混合型证券投资基金、景顺长城核心竞争力混合型证券投资基金、景顺长城核心中景一年持有期混合型证券投资基金基金经理。曾任景顺长城核心招景混合型证券投资基金、景顺长城核心优选一年持有期混合型证券投资基金基金经理。余广累计任职时间：16年又46天任职起始日期：2010-05-29现任基金公司：现任基金资产总规模70.04亿元在管基金最佳任期回报--余广管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报015731景顺长城核心竞争力混合C估值图基金吧档案混合型-偏股0.042022-06-02 ~ 2026-07-104年又39天"
郑晓辉,30040527,,博士,男,否,"基金经理：郑晓辉基金经理简介：郑晓辉先生:博士。2003年6月至2008年4月,曾任职于长盛基金管理有限公司,担任研究员、基金经理助理、同盛证券投资基金基金经理(2006年11月29日至2008年4月26日期间)等。2008年5月加入华夏基金管理有限公司,历任投资经理、机构投资部总经理助理、机构投资部副总经理、股票投资部副总经理,华夏策略精选灵活配置混合型证券投资基金基金经理(2015年6月16日至2016年9月14日期间)等,现任华夏优势增长混合型证券投资基金基金经理(2013年5月10日起任职)、华夏国企改革灵活配置混合型证券投资基金基金经理(2015年11月25日至2024年8月7日)、投资经理。2024年04月02日担任华夏国企创新混合型发起式证券投资基金基金经理。2024年12月26日担任华夏成长证券投资基金基金经理。郑晓辉累计任职时间：14年又240天任职起始日期：2006-11-29现任基金公司：华夏基金管理有限公司现任基金资产总规模116.55亿元在管基金最佳任期回报212.98%郑晓辉管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报"
刘平,30398835,,硕士,女,否,"基金经理：刘平基金经理简介：刘平女士:金融学硕士。2007年2月加入华夏基金管理有限公司,曾任行业研究员、投资经理、机构投资部总监、华夏优势增长混合型证券投资基金基金经理(2015年11月30日至2020年7月28日期间)等,现任股票投资部总监,华夏移动互联灵活配置混合型证券投资基金(QDII)基金经理(2016年12月14日起任职)、华夏领先股票型证券投资基金基金经理(2020年7月21日起任职)。2020年10月26日至2024年3月26日担任华夏科技龙头两年定期开放混合型证券投资基金基金经理。2025年3月3日担任华夏核心科技6个月定期开放混合型证券投资基金基金经理。刘平累计任职时间：10年又252天任职起始日期：2015-11-30现任基金公司：华夏基金管理有限公司现任基金资产总规模53.60亿元在管基金最佳任期回报168.60%刘平管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报010106华夏核心科技6个月定开混合A估值图基金吧档案混合型-偏股5.182025-03-03 ~ 至今1年又156天87.81%010107华夏核心科技6个月定"
孙轶佳,30063386,上海交通大学,硕士,女,否,"基金经理：孙轶佳基金经理简介：孙轶佳女士:上海交通大学金融学硕士,2008年4月至2011年8月,曾任中国国际金融有限公司研究部高级经理等。2011年8月加入华夏基金管理有限公司,曾任研究员、基金经理助理等,现任股票投资部高级副总裁,华夏优势增长混合型证券投资基金基金经理(2015年11月19日起任职至2019年3月21日期间)。华夏兴和混合型证券投资基金基金经理(2018年9月28日至2020年6月12日)。任华夏新兴消费混合型证券投资基金基金经理(2018年11月7日至2026年1月13日任职)。2021年11月2日至2023年4月6日任华夏睿阳一年持有期混合型证券投资基金基金经理,2021年11月2日至2023年3月16日担任华夏兴阳一年持有期混合型证券投资基金基金经理。2021年11月2日至2023年4月6日华夏安阳6个月持有期混合型证券投资基金基金经理。曾担任华夏优加生活混合型证券投资基金、华夏新兴经济一年持有期混合型证券投资基金、华夏常阳三年定期开放混合型证券投资基金、华夏鸿阳6个月持有期混合型证券投资基金的基金经理。孙轶佳累计任职时间：10年又58天任职起始日期：2015"
钱悦,30200651,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
孙振峰,30051678,,博士,男,否,"基金经理：孙振峰基金经理简介：孙振峰先生:博士,2004年加入银河基金管理有限公司,曾任研究部研究员、股票投资部基金经理助理、基金经理;2011年加入华夏基金管理有限公司,曾任股票投资部基金经理;2015年8月加入招商基金管理有限公司,拟任基金经理。孙振峰累计任职时间：7年又11天任职起始日期：2009-07-17现任基金公司：现任基金资产总规模--在管基金最佳任期回报--孙振峰管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报002823招商盛达混合A估值图基金吧档案混合型-灵活0.082016-08-30 ~ 2017-06-16290天-4.30%002824招商盛达混合C估值图基金吧档案混合型-灵活0.082016-08-30 ~ 2017-06-16290天-4.70%161706招商优质成长混合(LOF)估值图基金吧档案混合型-偏股16.512016-01-20 ~ 2017-06-011年又133天-9.52%217013招商中小盘混合估值图基金吧档案混合型-偏股2.282016-01-20 ~ 2017-03-111年又51天-11.3"
罗泽萍,30040329,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
刘文动,30038121,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
张益驰,30040609,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
黄皓,30710524,西南财经大学,硕士,男,否,"基金经理：黄皓基金经理简介：黄皓先生:西南财经大学金融学硕士,中国籍,2008年3月2009年9月,就职于国海证券股份有限公司,任研究所行业研究员;2009年10月至2011年11月,就职于摩根士丹利华鑫基金管理有限公司,任研究发展部研究员、基金投资部基金经理助理;2012年1月至2018年3月,就职于前海人寿保险股份有限公司,任资产管理部投资经理、权益投资室经理助理、资产管理中心权益投资部总经理助理、副总经理、总经理。2018年3月加入九泰基金管理有限公司,任权益投资总监兼中正和权益投资部总经理。曾担任九泰久益灵活配置混合型证券投资基金、九泰天富改革新动力灵活配置混合型证券投资基金基金经理。2024年11月加入华夏基金管理有限公司。2025年7月1日任华夏复兴混合型证券投资基金、华夏新锦升灵活配置混合型证券投资基金基金经理。2026年1月13日起担任华夏常阳三年定期开放混合型证券投资基金基金经理。黄皓累计任职时间：5年又132天任职起始日期：2020-08-12现任基金公司：华夏基金管理有限公司现任基金资产总规模21.76亿元在管基金最佳任期回报40.55%黄皓管理过的基金一览基金代"
郑煜,30040529,中国科技大学,硕士,女,否,"基金经理：郑煜基金经理简介：郑煜女士:中国国籍,中国科技大学管理科学与工程学硕士。曾任华夏证券高级分析师,大成基金高级分析师、投资经理。2004年8月加入原中信基金,曾任股权投资部总监、华夏基金股票投资部副总经理、华夏经典配置混合型证券投资基金基金经理(2006年8月11日至2011年3月17日期间)、华夏红利混合型证券投资基金基金经理(2010年1月16日至2011年3月17日期间)等,现任华夏基金管理有限公司董事总经理,华夏收入混合型证券投资基金基金经理(2009年2月4日至2025年6月25日任职)、华夏策略精选灵活配置混合型证券投资基金基金经理(2016年1月29日起任职)、华夏创新前沿股票型证券投资基金基金经理(2016年9月7日起任职)、华夏网购精选灵活配置混合型证券投资基金基金经理(2016年11月2日起任职)。华夏价值精选混合型证券投资基金基金经理(2020年12月8日至2021年12月30日任职)。2021年11月2日至2023年4月6日华夏睿阳一年持有期混合型证券投资基金、2021年11月2日至2024年7月4日任华夏兴阳一年持有期混合型证券投资基金基金经理。202"
周克平,30652585,,硕士,男,否,"基金经理：周克平基金经理简介：周克平先生:经济学硕士。2014年7月加入华夏基金管理有限公司,曾任机构权益投资部研究员、投资经理助理等,现任华夏创新未来18个月封闭运作混合型证券投资基金基金经理(2020年10月13日起任职)、华夏先锋科技一年定期开放混合型证券投资基金基金经理(2021年3月15日起至2024年6月5日任职)。华夏科技创新混合型证券投资基金基金经理(2019年6月10日起至2024年12月23日任职)。2019年1月24日起至2024年12月23日担任华夏复兴混合型证券投资基金基金经理。曾任华夏核心科技6个月定期开放混合型证券投资基金基金经理、华夏创新未来混合型证券投资基金(LOF)基金经理。曾任华夏创新视野一年持有期混合型证券投资基金基金经理。周克平累计任职时间：6年又43天任职起始日期：2019-01-24现任基金公司：现任基金资产总规模--在管基金最佳任期回报--周克平管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报015073华夏复兴混合C估值图基金吧档案混合型-偏股0.222022-02-22 ~ 2024-12-232年"
赵航,30040634,中南财经大学,硕士,男,否,"基金经理：赵航基金经理简介：赵航先生:中南财经大学投资经济专业硕士。曾任大鹏证券资产管理中心投资经理、长城证券投资银行部项目经理、鹏华基金原普华证券投资基金基金经理(2003年4月10日至2005年5月21日期间)、原中信基金中信红利精选股票型证券投资基金基金经理(2008年5月19日至2009年4月18日期间)、华夏经典配置混合型证券投资基金基金经理(2009年8月7日至2011年11月7日期间)等,现任股票投资部执行总经理,华夏红利混合型证券投资基金基金经理(2011年1月18日至2020年5月18日任职)、华夏复兴股票型证券投资基金基金经理(2015年1月7日起任职)。2020年5月18日至2021年10月21日任华夏鼎沛债券型证券投资基金基金经理。2020年5月18日至2021年10月21日任华夏盛世精选混合型证券投资基金基金经理。赵航累计任职时间：15年又89天任职起始日期：2003-04-10现任基金公司：现任基金资产总规模--在管基金最佳任期回报--赵航管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报000061华夏盛世混合估值图基金吧"
刘金玉,30057809,,硕士,男,否,"基金经理：刘金玉基金经理简介：刘金玉先生:硕士。2002年9月至2003年12月,曾任中国平安保险集团资产管理中心研究员等。2003年12月至2009年12月,曾任华夏基金管理有限公司行业研究主管等。2009年12月至2013年7月,曾任职于泰达宏利基金管理有限公司,担任泰达宏利价值优化型周期类行业证券投资基金基金经理、泰达宏利首选企业股票型证券投资基金基金经理、研究部副总监等。2013年8月起任职于华夏基金管理有限公司,现任华夏复兴股票型证券投资基金基金经理(2014年1月17日起任职)。刘金玉累计任职时间：6年又132天任职起始日期：2010-03-05现任基金公司：现任基金资产总规模--在管基金最佳任期回报--刘金玉管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报002011华夏红利混合估值图基金吧档案混合型-灵活38.612015-01-07 ~ 2017-01-062年又0天20.00%000031华夏复兴混合A估值图基金吧档案混合型-偏股15.712014-01-17 ~ 2017-01-062年又355天31.47%162208宏利首选"
崔同魁,30177781,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
孙建冬,30040367,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
童汀,30037006,,大学(推测),未知,否,基金经理：基金经理简介：累计任职时间：任职起始日期：现任基金公司：现任基金资产总规模在管基金最佳任期回报管理过的基金一览基金代码基金名称相关链接基金类型规模（亿元）任职时间任职天数任职回报现任基金业绩与排名详情基金代码基金名称基金类型近三月同类排名近六月同类排名近一年同类排名近两年同类排名今年来同类排名现任基金收益率走势现任基金排名走势暂无数据现任基金投资风格分析股票交易换手率股票投资集中度相关资讯点击查看更多基金资讯>>现任基金的基金吧讨论更多>>同公司基金经理一览更多>>
连骁,30787392,,硕士,男,否,"基金经理连骁的档案

查详细资料：


返回基金经理大全





基金经理：连骁




基金经理简介：连骁先生:硕士。2015年7月加入华夏基金管理有限公司,历任研究员、基金经理助理等。现任华夏先锋科技一年定期开放混合型证券投资基金基金经理。2025年6月25日任华夏盛世精选混合型证券投资基金基金经理。
                        




连骁


累计任职时间：3年又173天
任职起始日期：2023-02-15
                            
现任基金公司：华夏基金管理有限公司


现任基金资产
                                        总规模
17.68亿元


在管基金最佳
       "
