fund_code,report_date,stock_code,stock_name,hold_ratio,hold_shares,hold_value,year,quarter,report_type,data_source,hold_ratio_flag
000011,2021-03-31,2311,海大集团,4.09,278.25,21703.85,2021,1,季报,akshare,
000011,2021-03-31,2419,天虹股份,,1380.4,9704.24,2021,1,季报,akshare,
000011,2021-06-30,425,徐工机械,3.25,2936.31,18704.27,2021,2,半年报,akshare,
000011,2021-06-30,786,北新建材,0.95,140.0,5495.0,2021,2,半年报,akshare,
000011,2021-06-30,1207,联科科技,0.0,0.07,2.26,2021,2,半年报,akshare,
000011,2021-06-30,1208,华菱线缆,0.0,0.18,1.36,2021,2,半年报,akshare,
000011,2021-06-30,2179,中航光电,7.62,554.98,43854.37,2021,2,半年报,akshare,
000011,2021-06-30,2311,海大集团,4.09,288.25,23521.31,2021,2,半年报,akshare,
000011,2021-06-30,2419,天虹股份,0.88,776.69,5095.09,2021,2,半年报,akshare,
000011,2021-06-30,2541,鸿路钢构,2.69,264.99,15462.06,2021,2,半年报,akshare,
000011,2021-06-30,2705,新宝股份,0.82,180.0,4724.89,2021,2,半年报,akshare,
000011,2021-09-30,2179,中航光电,5.85,408.98,33553.09,2021,3,季报,akshare,
000011,2021-09-30,2311,海大集团,4.56,388.25,26168.14,2021,3,季报,akshare,
000011,2021-09-30,2419,天虹股份,0.58,542.51,3303.89,2021,3,季报,akshare,
000011,2021-12-31,786,北新建材,3.97,599.99,21497.71,2021,4,年报,akshare,
000011,2021-12-31,1234,泰慕士,0.0,0.03,0.55,2021,4,年报,akshare,
000011,2021-12-31,2179,中航光电,6.85,368.99,37105.78,2021,4,年报,akshare,
000011,2021-12-31,2311,海大集团,4.7,347.26,25454.18,2021,4,年报,akshare,
000011,2021-12-31,2419,天虹股份,0.63,542.51,3406.96,2021,4,年报,akshare,
000011,2021-12-31,2531,天顺风能,1.65,460.0,8919.4,2021,4,年报,akshare,
000011,2021-12-31,2541,鸿路钢构,0.49,50.01,2677.29,2021,4,年报,akshare,
000011,2021-12-31,2705,新宝股份,1.2,262.49,6483.4,2021,4,年报,akshare,
000011,2021-12-31,2706,良信股份,2.44,739.98,13186.44,2021,4,年报,akshare,
000011,2022-03-31,2179,中航光电,6.77,368.99,28666.94,2022,1,季报,akshare,
000011,2022-06-30,786,北新建材,4.25,599.99,20771.72,2022,2,半年报,akshare,
000011,2022-06-30,1268,联合精密,0.0,0.04,1.13,2022,2,半年报,akshare,
000011,2022-06-30,2179,中航光电,6.79,523.59,33153.85,2022,2,半年报,akshare,
000011,2022-06-30,2311,海大集团,3.28,267.26,16038.29,2022,2,半年报,akshare,
000011,2022-06-30,2419,天虹股份,0.41,282.51,2014.3,2022,2,半年报,akshare,
000011,2022-06-30,2541,鸿路钢构,0.44,65.01,2171.24,2022,2,半年报,akshare,
000011,2022-06-30,2706,良信股份,3.86,1141.19,18863.95,2022,2,半年报,akshare,
000011,2022-09-30,2179,中航光电,5.96,413.6,23988.8,2022,3,季报,akshare,
000011,2022-09-30,2706,良信股份,3.62,1241.19,14571.62,2022,3,季报,akshare,
000011,2022-09-30,2979,雷赛智能,1.05,244.16,4211.76,2022,3,季报,akshare,
000011,2022-12-31,596,古井贡酒,1.33,20.0,5338.0,2022,4,年报,akshare,
000011,2022-12-31,729,燕京啤酒,3.85,1459.99,15505.11,2022,4,年报,akshare,
000011,2022-12-31,1301,尚太科技,0.0,0.12,6.87,2022,4,年报,akshare,
000011,2022-12-31,2179,中航光电,4.5,313.6,18113.54,2022,4,年报,akshare,
000011,2022-12-31,2419,天虹股份,0.48,282.51,1943.67,2022,4,年报,akshare,
000011,2022-12-31,2493,荣盛石化,2.38,780.0,9594.0,2022,4,年报,akshare,
000011,2022-12-31,2541,鸿路钢构,1.16,159.82,4681.13,2022,4,年报,akshare,
000011,2022-12-31,2648,卫星化学,3.88,1007.99,15623.81,2022,4,年报,akshare,
000011,2022-12-31,2706,良信股份,,1241.19,16073.47,2022,4,年报,akshare,
000011,2022-12-31,2979,雷赛智能,0.75,134.16,3033.36,2022,4,年报,akshare,
000011,2023-03-31,729,燕京啤酒,4.58,1349.99,18913.38,2023,1,季报,akshare,
000011,2023-03-31,2179,中航光电,4.5,343.6,18581.89,2023,1,季报,akshare,
000011,2023-03-31,2419,天虹股份,0.7,462.51,2890.69,2023,1,季报,akshare,
000011,2023-06-30,596,古井贡酒,2.41,39.0,9647.82,2023,2,半年报,akshare,
000011,2023-06-30,729,燕京啤酒,4.21,1349.99,16834.4,2023,2,半年报,akshare,
000011,2023-06-30,1282,三联锻造,0.00,0.01,0.35,2023,2,半年报,legacy,
000011,2023-06-30,1286,陕西能源,0.0,0.38,3.54,2023,2,半年报,akshare,
000011,2023-06-30,1287,中电港,0.0,0.14,2.91,2023,2,半年报,akshare,
000011,2023-06-30,1324,长青科技,0.00,0.01,0.22,2023,2,半年报,legacy,
000011,2023-06-30,1328,登康口腔,0.00,0.01,0.37,2023,2,半年报,legacy,
000011,2023-06-30,1360,南矿集团,0.00,0.02,0.26,2023,2,半年报,legacy,
000011,2023-06-30,1367,海森药业,0.00,0.01,0.22,2023,2,半年报,legacy,
000011,2023-06-30,1380,华纬科技,0.00,0.02,0.52,2023,2,半年报,legacy,
000011,2023-06-30,2046,国机精工,1.53,479.99,6124.65,2023,2,半年报,akshare,
000011,2023-06-30,2179,中航光电,5.07,446.68,20256.94,2023,2,半年报,akshare,
000011,2023-06-30,2419,天虹股份,0.68,462.51,2705.68,2023,2,半年报,akshare,
000011,2023-06-30,2493,荣盛石化,2.63,902.79,10508.48,2023,2,半年报,akshare,
000011,2023-06-30,2541,鸿路钢构,1.15,159.82,4604.41,2023,2,半年报,akshare,
000011,2023-06-30,2648,卫星化学,3.1,827.99,12386.7,2023,2,半年报,akshare,
000011,2023-06-30,2706,良信股份,0.67,236.85,2664.59,2023,2,半年报,akshare,
000011,2023-09-30,729,燕京啤酒,3.4,1269.21,12780.96,2023,3,季报,akshare,
000011,2023-09-30,2046,国机精工,1.68,559.99,6327.87,2023,3,季报,akshare,
000011,2023-09-30,2419,天虹股份,0.7,462.51,2627.06,2023,3,季报,akshare,
000011,2023-12-31,596,古井贡酒,1.77,25.51,5938.73,2023,4,年报,akshare,
000011,2023-12-31,1239,永达股份,0.00,0.02,0.38,2023,4,年报,legacy,
000011,2023-12-31,1306,夏厦精密,0.00,0.01,0.48,2023,4,年报,legacy,
000011,2023-12-31,1358,兴欣新材,0.00,0.01,0.38,2023,4,年报,legacy,
000011,2023-12-31,1378,德冠新材,0.00,0.02,0.64,2023,4,年报,legacy,
000011,2023-12-31,2046,国机精工,1.48,430.32,4970.18,2023,4,年报,akshare,
000011,2023-12-31,2179,中航光电,1.55,133.51,5206.89,2023,4,年报,akshare,
000011,2023-12-31,2371,北方华创,2.01,27.54,6766.61,2023,4,年报,akshare,
000011,2023-12-31,2410,广联达,0.51,100.92,1729.73,2023,4,年报,akshare,
000011,2023-12-31,2415,海康威视,3.15,305.46,10605.73,2023,4,年报,akshare,
000011,2023-12-31,2419,天虹股份,0.4,242.51,1341.08,2023,4,年报,akshare,
000011,2023-12-31,2465,海格通信,0.5,132.1,1697.49,2023,4,年报,akshare,
000011,2023-12-31,2475,立讯精密,2.01,196.51,6769.77,2023,4,年报,akshare,
000011,2023-12-31,2493,荣盛石化,0.92,298.24,3086.78,2023,4,年报,akshare,
000011,2023-12-31,2541,鸿路钢构,1.12,174.05,3782.11,2023,4,年报,akshare,
000011,2023-12-31,2920,德赛西威,0.99,25.81,3342.65,2023,4,年报,akshare,
000011,2024-03-31,2371,北方华创,5.46,58.52,17883.41,2024,1,季报,akshare,
000011,2024-03-31,2606,大连电瓷,0.34,159.58,1118.66,2024,1,季报,akshare,
000011,2024-06-30,333,美的集团,1.02,50.6,3263.7,2024,2,半年报,akshare,
000011,2024-06-30,682,东方电子,0.52,149.44,1649.83,2024,2,半年报,akshare,
000011,2024-06-30,725,京东方A,0.52,404.54,1654.57,2024,2,半年报,akshare,
000011,2024-06-30,923,河钢资源,1.81,335.8,5782.48,2024,2,半年报,akshare,
000011,2024-06-30,959,首钢股份,0.89,1053.05,2864.31,2024,2,半年报,akshare,
000011,2024-06-30,977,浪潮信息,2.32,204.49,7437.3,2024,2,半年报,akshare,
000011,2024-06-30,1359,平安电工,0.00,0.02,0.38,2024,2,半年报,legacy,
000011,2024-06-30,1379,腾达科技,0.00,0.02,0.29,2024,2,半年报,legacy,
000011,2024-06-30,1389,广合科技,0.0,0.02,0.77,2024,2,半年报,akshare,
000011,2024-06-30,2027,分众传媒,0.88,462.81,2804.63,2024,2,半年报,akshare,
000011,2024-06-30,2126,银轮股份,1.91,351.85,6125.7,2024,2,半年报,akshare,
000011,2024-06-30,2179,中航光电,1.59,133.51,5080.06,2024,2,半年报,akshare,
000011,2024-06-30,2180,纳思达,1.51,183.07,4836.71,2024,2,半年报,akshare,
000011,2024-06-30,2241,歌尔股份,0.51,83.27,1624.6,2024,2,半年报,akshare,
000011,2024-06-30,2371,北方华创,3.88,38.86,12430.61,2024,2,半年报,akshare,
000011,2024-06-30,2401,中远海科,0.42,91.06,1360.44,2024,2,半年报,akshare,
000011,2024-06-30,2409,雅克科技,1.42,72.08,4534.55,2024,2,半年报,akshare,
000011,2024-06-30,2415,海康威视,1.08,112.41,3474.62,2024,2,半年报,akshare,
000011,2024-06-30,2419,天虹股份,0.32,242.51,1013.69,2024,2,半年报,akshare,
000011,2024-06-30,2465,海格通信,1.49,459.23,4757.62,2024,2,半年报,akshare,
000011,2024-06-30,2475,立讯精密,2.52,205.06,8060.91,2024,2,半年报,akshare,
000011,2024-06-30,2541,鸿路钢构,0.43,80.6,1367.78,2024,2,半年报,akshare,
000011,2024-06-30,2594,比亚迪,0.63,8.06,2017.02,2024,2,半年报,akshare,
000011,2024-06-30,2600,领益智造,0.02,9.81,69.85,2024,2,半年报,akshare,
000011,2024-06-30,2606,大连电瓷,0.37,159.58,1198.45,2024,2,半年报,akshare,
000011,2024-06-30,2850,科达利,0.38,15.93,1216.73,2024,2,半年报,akshare,
000011,2024-06-30,2859,洁美科技,0.02,2.64,53.01,2024,2,半年报,akshare,
000011,2024-06-30,2920,德赛西威,0.45,16.67,1451.9,2024,2,半年报,akshare,
000011,2024-06-30,2938,鹏鼎控股,0.0,0.13,5.17,2024,2,半年报,akshare,
000011,2024-09-30,2180,纳思达,3.06,367.8,11155.37,2024,3,季报,akshare,
000011,2024-09-30,2371,北方华创,2.98,29.6,10832.64,2024,3,季报,akshare,
000011,2024-12-31,63,中兴通讯,0.11,10.25,414.1,2024,4,年报,akshare,
000011,2024-12-31,89,深圳机场,0.52,274.18,1889.1,2024,4,年报,akshare,
000011,2024-12-31,333,美的集团,1.33,64.68,4865.24,2024,4,年报,akshare,
000011,2024-12-31,338,潍柴动力,1.0,267.25,3661.33,2024,4,年报,akshare,
000011,2024-12-31,581,威孚高科,2.53,490.71,9264.67,2024,4,年报,akshare,
000011,2024-12-31,725,京东方A,2.07,1728.54,7588.29,2024,4,年报,akshare,
000011,2024-12-31,792,盐湖股份,0.88,195.56,3218.84,2024,4,年报,akshare,
000011,2024-12-31,895,双汇发展,1.01,142.51,3699.56,2024,4,年报,akshare,
000011,2024-12-31,923,河钢资源,1.28,335.8,4667.62,2024,4,年报,akshare,
000011,2024-12-31,1279,强邦新材,0.0,0.03,0.74,2024,4,年报,akshare,
000011,2024-12-31,1391,国货航,0.0,0.47,3.19,2024,4,年报,akshare,
000011,2024-12-31,2126,银轮股份,1.84,359.89,6737.13,2024,4,年报,akshare,
000011,2024-12-31,2138,顺络电子,1.57,182.42,5742.58,2024,4,年报,akshare,
000011,2024-12-31,2179,中航光电,1.09,101.69,3996.34,2024,4,年报,akshare,
000011,2024-12-31,2180,纳思达,1.96,254.16,7159.69,2024,4,年报,akshare,
000011,2024-12-31,2230,科大讯飞,2.38,180.15,8704.85,2024,4,年报,akshare,
000011,2024-12-31,2241,歌尔股份,0.0,0.01,0.16,2024,4,年报,akshare,
000011,2024-12-31,2415,海康威视,1.07,127.15,3903.56,2024,4,年报,akshare,
000011,2024-12-31,2459,晶澳科技,0.4,106.01,1457.64,2024,4,年报,akshare,
000011,2024-12-31,2465,海格通信,0.45,151.54,1663.91,2024,4,年报,akshare,
000011,2024-12-31,2475,立讯精密,1.72,154.44,6294.97,2024,4,年报,akshare,
000011,2024-12-31,2533,金杯电工,0.52,193.46,1903.61,2024,4,年报,akshare,
000011,2024-12-31,2594,比亚迪,0.52,6.77,1913.61,2024,4,年报,akshare,
000011,2024-12-31,2637,赞宇科技,0.22,82.96,817.16,2024,4,年报,akshare,
000011,2024-12-31,2847,盐津铺子,0.54,31.34,1961.88,2024,4,年报,akshare,
000011,2024-12-31,2850,科达利,0.9,33.86,3307.44,2024,4,年报,akshare,
000011,2024-12-31,2920,德赛西威,2.97,98.65,10862.29,2024,4,年报,akshare,
000011,2025-03-31,100,TCL科技,2.82,2332.57,10379.94,2025,1,季报,akshare,
000011,2025-03-31,725,京东方A,2.31,2048.71,8502.15,2025,1,季报,akshare,
000011,2025-03-31,2230,科大讯飞,3.55,274.53,13059.27,2025,1,季报,akshare,
000011,2025-03-31,2371,北方华创,2.9,25.64,10666.24,2025,1,季报,akshare,
000011,2025-06-30,89,深圳机场,0.58,301.48,2080.21,2025,2,半年报,akshare,
000011,2025-06-30,100,TCL科技,2.31,1905.58,8251.18,2025,2,半年报,akshare,
000011,2025-06-30,333,美的集团,1.06,52.23,3771.01,2025,2,半年报,akshare,
000011,2025-06-30,423,东阿阿胶,0.91,62.43,3265.04,2025,2,半年报,akshare,
000011,2025-06-30,725,京东方A,2.29,2048.71,8174.35,2025,2,半年报,akshare,
000011,2025-06-30,792,盐湖股份,0.93,195.56,3340.08,2025,2,半年报,akshare,
000011,2025-06-30,915,华特达因,1.23,124.62,4405.32,2025,2,半年报,akshare,
000011,2025-06-30,923,河钢资源,1.3,335.8,4647.47,2025,2,半年报,akshare,
000011,2025-06-30,988,华工科技,2.72,206.58,9711.52,2025,2,半年报,akshare,
000011,2025-06-30,1356,富岭股份,0.0,0.07,1.02,2025,2,半年报,akshare,
000011,2025-06-30,1382,新亚电缆,0.0,0.04,0.74,2025,2,半年报,akshare,
000011,2025-06-30,1388,信通电子,0.0,0.09,1.54,2025,2,半年报,akshare,
000011,2025-06-30,1391,国货航,0.0,0.47,3.15,2025,2,半年报,akshare,
000011,2025-06-30,1696,宗申动力,0.42,66.52,1493.37,2025,2,半年报,akshare,
000011,2025-06-30,2025,航天电器,0.36,25.23,1296.88,2025,2,半年报,akshare,
000011,2025-06-30,2126,银轮股份,0.52,76.44,1855.95,2025,2,半年报,akshare,
000011,2025-06-30,2230,科大讯飞,1.97,146.68,7022.92,2025,2,半年报,akshare,
000011,2025-06-30,2241,歌尔股份,0.5,76.65,1787.39,2025,2,半年报,akshare,
000011,2025-06-30,2371,北方华创,2.55,20.59,9105.1,2025,2,半年报,akshare,
000011,2025-06-30,2409,雅克科技,0.94,61.15,3344.18,2025,2,半年报,akshare,
000011,2025-06-30,2415,海康威视,0.95,122.75,3403.86,2025,2,半年报,akshare,
000011,2025-06-30,2432,九安医疗,1.24,121.16,4413.88,2025,2,半年报,akshare,
000011,2025-06-30,2463,沪电股份,0.95,79.78,3397.03,2025,2,半年报,akshare,
000011,2025-06-30,2472,双环传动,0.45,47.8,1600.82,2025,2,半年报,akshare,
000011,2025-06-30,2475,立讯精密,2.22,228.58,7929.44,2025,2,半年报,akshare,
000011,2025-06-30,2841,视源股份,0.42,43.03,1488.84,2025,2,半年报,akshare,
000011,2025-06-30,2938,鹏鼎控股,1.06,118.57,3797.8,2025,2,半年报,akshare,
000011,2025-09-30,2371,北方华创,2.51,24.15,10922.91,2025,3,季报,akshare,
000011,2025-09-30,2475,立讯精密,3.99,268.0,17336.92,2025,3,季报,akshare,
000011,2025-12-31,89,深圳机场,0.52,301.48,2107.35,2025,4,年报,akshare,
000011,2025-12-31,100,TCL科技,2.14,1905.58,8651.36,2025,4,年报,akshare,
000011,2025-12-31,338,潍柴动力,0.49,115.75,1990.9,2025,4,年报,akshare,
000011,2025-12-31,423,东阿阿胶,0.43,35.51,1742.79,2025,4,年报,akshare,
000011,2025-12-31,581,威孚高科,0.65,128.14,2642.25,2025,4,年报,akshare,
000011,2025-12-31,725,京东方A,2.13,2048.71,8625.07,2025,4,年报,akshare,
000011,2025-12-31,923,河钢资源,1.75,335.8,7108.89,2025,4,年报,akshare,
000011,2025-12-31,977,浪潮信息,1.12,67.94,4524.8,2025,4,年报,akshare,
000011,2025-12-31,1221,悍高集团,0.0,0.02,0.91,2025,4,年报,akshare,
000011,2025-12-31,1233,海安集团,0.0,0.04,1.92,2025,4,年报,akshare,
000011,2025-12-31,1280,中国铀业,0.0,0.23,10.33,2025,4,年报,akshare,
000011,2025-12-31,1285,瑞立科密,0.0,0.01,0.77,2025,4,年报,akshare,
000011,2025-12-31,1369,双欣材料,0.0,0.09,1.16,2025,4,年报,akshare,
000011,2025-12-31,1386,马可波罗,0.0,0.16,3.01,2025,4,年报,akshare,
000011,2025-12-31,2025,航天电器,0.62,49.99,2505.79,2025,4,年报,akshare,
000011,2025-12-31,2028,思源电气,1.37,35.82,5537.41,2025,4,年报,akshare,
000011,2025-12-31,2085,万丰奥威,0.44,110.78,1773.61,2025,4,年报,akshare,
000011,2025-12-31,2315,焦点科技,2.54,225.21,10305.52,2025,4,年报,akshare,
000011,2025-12-31,2335,科华数据,0.47,34.61,1921.89,2025,4,年报,akshare,
000011,2025-12-31,2371,北方华创,3.66,32.29,14823.69,2025,4,年报,akshare,
000011,2025-12-31,2380,科远智慧,0.51,75.71,2059.31,2025,4,年报,akshare,
000011,2025-12-31,2410,广联达,1.27,409.83,5155.71,2025,4,年报,akshare,
000011,2025-12-31,2415,海康威视,0.98,132.46,3952.61,2025,4,年报,akshare,
000011,2025-12-31,2432,九安医疗,0.55,55.3,2214.23,2025,4,年报,akshare,
000011,2025-12-31,2463,沪电股份,2.15,119.03,8697.52,2025,4,年报,akshare,
000011,2025-12-31,2475,立讯精密,4.43,316.07,17924.33,2025,4,年报,akshare,
000011,2025-12-31,2916,深南电路,0.53,9.29,2157.97,2025,4,年报,akshare,
000011,2026-03-31,977,浪潮信息,2.53,169.08,9482.28,2026,1,季报,akshare,
000011,2026-03-31,2371,北方华创,2.55,21.42,9574.74,2026,1,季报,akshare,
000011,2026-06-30,2371,北方华创,4.27,24.24,21441.73,2026,2,半年报,akshare,
000011,2026-06-30,2384,东山精密,3.8,72.9,19125.32,2026,2,半年报,akshare,
000011,2026-06-30,2463,沪电股份,3.37,110.93,16950.1,2026,2,半年报,akshare,
000017,2018-06-30,418,小天鹅A,0.05,0.1,6.94,2018,2,半年报,legacy,
000017,2018-06-30,596,古井贡酒,2.96,5.1,452.75,2018,2,半年报,legacy,
000017,2018-06-30,830,鲁西化工,0.31,2.79,47.60,2018,2,半年报,legacy,
000017,2018-06-30,858,五粮液,4.91,9.86,749.53,2018,2,半年报,legacy,
000017,2018-06-30,977,浪潮信息,3.25,20.82,496.46,2018,2,半年报,legacy,
000017,2018-06-30,2027,分众传媒,1.79,28.49,272.63,2018,2,半年报,legacy,
000017,2018-06-30,2078,太阳纸业,1.19,18.83,182.43,2018,2,半年报,legacy,
000017,2018-06-30,2390,信邦制药,0.86,17.89,130.95,2018,2,半年报,legacy,
000017,2018-06-30,2410,广联达,2.36,12.98,359.93,2018,2,半年报,legacy,
000017,2018-06-30,2475,立讯精密,0.00,0.02,0.49,2018,2,半年报,legacy,
000017,2018-06-30,2697,红旗连锁,3.20,100.94,488.57,2018,2,半年报,legacy,
000017,2018-06-30,2821,凯莱英,2.96,5.19,452.72,2018,2,半年报,legacy,
000017,2018-12-31,63,中兴通讯,2.88,17.13,335.62,2018,4,年报,legacy,
000017,2018-12-31,418,小天鹅A,0.00,0.01,0.43,2018,4,年报,legacy,
000017,2018-12-31,830,鲁西化工,0.00,0.01,0.10,2018,4,年报,legacy,
000017,2018-12-31,2044,美年健康,4.24,33.06,494.18,2018,4,年报,legacy,
000017,2018-12-31,2153,石基信息,2.24,10.04,260.72,2018,4,年报,legacy,
000017,2018-12-31,2281,光迅科技,1.14,4.96,133.32,2018,4,年报,legacy,
000017,2018-12-31,2410,广联达,2.95,16.53,344.07,2018,4,年报,legacy,
000017,2018-12-31,2475,立讯精密,0.00,0.03,0.40,2018,4,年报,legacy,
000017,2018-12-31,2739,万达电影,2.09,11.16,243.72,2018,4,年报,legacy,
000017,2018-12-31,2821,凯莱英,3.66,6.28,425.89,2018,4,年报,legacy,
000017,2019-06-30,63,中兴通讯,4.21,15.44,502.18,2019,2,半年报,legacy,
000017,2019-06-30,651,格力电器,3.07,6.66,366.25,2019,2,半年报,legacy,
000017,2019-06-30,661,长春高新,4.18,1.48,498.69,2019,2,半年报,legacy,
000017,2019-06-30,830,鲁西化工,0.00,0.01,0.11,2019,2,半年报,legacy,
000017,2019-06-30,2035,华帝股份,0.85,8.32,101.38,2019,2,半年报,legacy,
000017,2019-06-30,2044,美年健康,5.89,56.52,703.10,2019,2,半年报,legacy,
000017,2019-06-30,2216,三全食品,0.00,0.01,0.10,2019,2,半年报,legacy,
000017,2019-06-30,2230,科大讯飞,2.06,7.4,245.83,2019,2,半年报,legacy,
